g1	0	1	g2	43	44
g1	0	1	g2	30	31
g1	0	1	g2	56	57
g1	0	1	g1	50	51
g1	0	1	g2	68	69
g1	0	1	g2	56	57
g1	0	1	g1s	6	7
g1	0	1	g2	68	69
g1	3	4	g2	43	44
g1	5	6	g2	56	57
g1	10	11	g2	30	31
g1	19	20	g1s	18	19
g1	25	26	g2	18	19
g1	50	51	g1s	18	19
g1	66	67	g2	30	31
g1	79	80	g2	56	57
g1	81	82	g2	56	57
g1	83	84	g2	56	57
g1	91	92	g2	56	57
g1	95	96	g2	68	69
g1	97	98	g1	0	1
g1	98	99	g2	68	69
g1	100	101	g2	56	57
g1	107	108	g2	43	44
g1s	1	2	g2	68	69
g1s	3	4	g2	43	44
g1s	5	6	g2	56	57
g1s	5	6	g2	68	69
g1s	6	7	g2	56	57
g1s	6	7	g2	56	57
g1s	6	7	g2	68	69
g1s	6	7	g1	76	77
g1s	7	8	g2	56	57
g1s	10	11	g2	5	6
g1s	25	26	g2	43	44
g2	2	3	g2	68	69
g2	35	36	g2	107	108
g2	35	36	g2	43	44
g2	36	37	g2	68	69
g2	37	38	g2	56	57
g2	37	38	g2	30	31
g2	50	51	g2	30	31
g2	51	52	g2	5	6
g2	52	53	g2	43	44
g2	56	57	g2	56	57
g2	59	60	g2	56	57
g2	59	60	g2	56	57
g2	60	61	g2	56	57
g2	62	63	g2	68	69
