,fucci_time,cell
297,0.259,890
298,0.26,26
299,0.26,455
300,0.261,934
301,0.262,74
302,0.263,743
303,0.264,80
304,0.265,489
305,0.266,854
306,0.267,859
307,0.267,997
308,0.26899999999999996,944
309,0.27,71
310,0.271,145
311,0.272,821
312,0.273,992
313,0.273,386
314,0.27399999999999997,970
315,0.275,599
316,0.276,78
317,0.27699999999999997,496
318,0.27899999999999997,945
319,0.28,942
320,0.28,383
321,0.281,921
322,0.282,943
323,0.28300000000000003,885
324,0.284,1001
325,0.285,781
326,0.28600000000000003,454
327,0.287,881
328,0.287,1003
329,0.28800000000000003,487
330,0.289,3
331,0.29,254
332,0.29100000000000004,336
333,0.292,691
334,0.293,1006
335,0.294,505
336,0.294,888
337,0.295,756
338,0.29600000000000004,28
339,0.297,378
340,0.298,949
341,0.299,722
342,0.3,566
343,0.301,744
344,0.301,693
345,0.302,972
346,0.303,957
347,0.304,936
348,0.305,966
349,0.306,333
350,0.307,760
351,0.308,726
352,0.308,774
353,0.309,519
354,0.31,951
355,0.311,237
356,0.312,956
357,0.313,987
358,0.314,654
359,0.315,468
360,0.315,638
361,0.316,965
362,0.317,639
363,0.318,819
364,0.319,529
365,0.32,968
366,0.321,220
367,0.321,395
368,0.322,625
369,0.32299999999999995,684
370,0.324,990
371,0.325,131
372,0.326,731
373,0.327,999
374,0.32799999999999996,763
375,0.32799999999999996,779
376,0.32899999999999996,1004
377,0.33,977
378,0.331,984
379,0.332,174
380,0.33299999999999996,438
381,0.33399999999999996,994
382,0.335,933
383,0.335,401
384,0.336,56
385,0.337,1007
386,0.33799999999999997,950
387,0.33899999999999997,954
388,0.34,224
389,0.341,817
390,0.342,974
391,0.342,964
392,0.34299999999999997,937
393,0.344,337
394,0.345,669
395,0.34600000000000003,1002
396,0.34700000000000003,570
397,0.348,995
398,0.349,985
399,0.349,850
400,0.35,975
401,0.35100000000000003,747
402,0.35200000000000004,983
403,0.353,955
404,0.354,70
405,0.355,836
406,0.35600000000000004,494
407,0.35600000000000004,778
408,0.35700000000000004,678
409,0.358,979
410,0.359,59
411,0.36,499
412,0.361,986
413,0.36200000000000004,845
414,0.363,170
415,0.363,978
416,0.364,971
417,0.365,242
418,0.366,426
419,0.36700000000000005,117
420,0.368,784
421,0.369,659
422,0.369,149
423,0.37,524
424,0.371,827
425,0.37200000000000005,436
426,0.373,596
427,0.374,648
428,0.375,155
429,0.376,614
430,0.376,190
431,0.377,578
432,0.37799999999999995,115
433,0.379,698
434,0.38,462
435,0.381,926
436,0.382,544
437,0.38299999999999995,640
438,0.38299999999999995,192
439,0.384,1059
440,0.385,1060
441,0.386,1062
442,0.387,739
443,0.38799999999999996,447
444,0.389,52
445,0.39,831
446,0.39,382
447,0.391,716
448,0.392,750
449,0.39299999999999996,384
450,0.39399999999999996,1020
451,0.395,85
452,0.396,428
453,0.397,173
454,0.397,870
455,0.39799999999999996,910
456,0.39899999999999997,553
457,0.4,1073
458,0.401,812
459,0.402,1024
460,0.40299999999999997,43
461,0.40399999999999997,1058
462,0.40399999999999997,335
463,0.405,694
464,0.406,306
465,0.40700000000000003,810
466,0.408,351
467,0.409,24
468,0.41,73
469,0.41,1048
470,0.41100000000000003,1056
471,0.41200000000000003,1017
472,0.413,1035
473,0.414,517
474,0.415,1025
475,0.41600000000000004,304
476,0.41700000000000004,1072
477,0.41700000000000004,680
478,0.418,612
479,0.419,260
480,0.42,832
481,0.42100000000000004,1041
482,0.42200000000000004,786
483,0.423,61
484,0.424,895
485,0.424,1013
486,0.425,443
487,0.426,216
488,0.42700000000000005,754
489,0.428,1018
490,0.429,1037
491,0.43,97
492,0.431,257
493,0.431,899
494,0.43200000000000005,1026
495,0.433,1051
496,0.434,1047
497,0.435,662
498,0.436,211
499,0.43700000000000006,176
500,0.43799999999999994,884
501,0.43799999999999994,602
502,0.439,279
503,0.44,623
504,0.441,172
505,0.442,13
506,0.44299999999999995,1065
507,0.444,568
508,0.445,549
509,0.445,564
510,0.446,849
511,0.447,1033
512,0.44799999999999995,748
513,0.449,154
514,0.45,844
515,0.451,1011
516,0.452,1014
517,0.452,1052
518,0.45299999999999996,1050
519,0.45399999999999996,792
520,0.455,338
521,0.456,695
522,0.457,1057
523,0.45799999999999996,1046
524,0.45799999999999996,407
525,0.45899999999999996,609
526,0.46,98
527,0.461,576
528,0.462,321
529,0.46299999999999997,459
530,0.46399999999999997,1021
531,0.465,1055
