,well_plate,does_vary_cell,does_vary_nuc,does_vary_cyto,does_perc_vary_cell,does_perc_vary_nuc,does_perc_vary_cyto
262,A11_6718,True,True,True,False,False,False
263,A11_6719,False,True,False,False,False,False
264,A11_6720,False,False,False,False,False,False
265,A11_6721,False,False,False,False,False,False
266,A11_6724,False,False,True,False,False,False
267,A11_6725,True,True,True,False,False,False
268,A11_6731,True,True,True,False,False,False
269,A11_6734,False,False,True,False,False,False
270,A11_6735,True,True,True,False,False,False
271,A11_6736,True,True,True,False,False,False
272,A11_6745,False,False,False,True,False,True
273,A11_75836284,False,False,False,False,False,False
274,A12_55185977,True,True,True,False,False,False
275,A12_55195978,True,True,False,True,True,True
276,A12_55215982,False,False,False,False,False,False
277,A12_55235979,False,False,True,False,False,False
278,A12_55245981,False,False,False,False,False,False
279,A12_55335984,False,False,False,False,False,False
280,A12_55345985,False,False,False,False,False,False
281,A12_55385989,False,False,False,False,False,False
282,A12_55405991,False,False,False,False,False,False
283,A12_6717,False,False,False,True,False,False
284,A12_6718,False,False,True,False,False,False
285,A12_6719,True,True,False,False,False,False
286,A12_6720,True,True,True,False,False,False
287,A12_6721,True,False,False,True,True,False
288,A12_6722,False,False,False,False,False,False
289,A12_6724,True,True,True,False,True,False
290,A12_6725,True,True,True,False,False,False
291,A12_6731,True,True,True,False,False,False
292,A12_6734,True,True,True,False,False,False
293,A12_6735,True,True,False,False,False,False
294,A12_6736,False,False,False,False,False,False
295,B01_55185977,True,True,True,True,True,True
296,B01_55195978,True,False,True,True,True,True
297,B01_55205980,True,True,True,False,False,False
298,B01_55225983,True,False,True,False,False,False
299,B01_55235979,True,True,False,False,False,False
300,B01_55245981,False,True,False,False,False,False
301,B01_55335984,True,False,True,False,False,False
302,B01_55355986,True,False,False,False,False,False
303,B01_55365987,True,True,False,False,False,False
304,B01_55375988,True,False,True,False,False,False
305,B01_55385989,False,False,False,False,False,False
306,B01_55405991,True,False,True,False,False,False
307,B01_6717,True,True,False,False,False,False
308,B01_6718,False,False,False,False,False,False
309,B01_6720,False,True,False,False,False,False
310,B01_6724,False,False,True,False,False,False
311,B01_6725,True,True,True,False,False,False
312,B01_6731,True,True,True,False,False,False
313,B01_6734,False,True,False,False,False,False
314,B01_6735,True,True,True,False,False,False
315,B01_6736,True,False,False,False,False,False
316,B01_6745,False,False,False,False,False,False
317,B01_75836284,False,False,False,False,False,False
318,B02_55205980,False,False,False,False,False,False
319,B02_55215982,False,False,False,False,False,False
320,B02_55235979,False,True,False,False,True,False
321,B02_55335984,False,False,False,False,False,False
322,B02_55345985,True,False,True,False,False,False
323,B02_55365987,False,False,False,False,False,False
324,B02_55375988,False,False,False,False,False,False
325,B02_55385989,False,False,False,False,False,False
326,B02_55395990,False,False,False,False,False,False
327,B02_55405991,False,False,False,False,False,False
328,B02_6717,False,False,False,False,False,False
329,B02_6718,False,False,False,False,False,False
330,B02_6720,True,True,True,False,False,False
331,B02_6721,False,False,False,False,False,False
332,B02_6722,False,False,False,False,False,False
333,B02_6724,False,False,False,False,False,False
334,B02_6725,False,False,True,False,False,False
335,B02_6731,False,False,False,False,False,False
336,B02_6734,False,False,False,False,False,False
337,B02_6735,True,True,True,False,False,False
338,B02_6736,False,False,False,False,False,False
339,B02_6745,False,False,False,False,False,False
340,B02_75836284,False,False,False,False,False,False
341,B02_75846286,False,False,False,False,False,False
342,B03_55195978,False,False,False,False,False,False
343,B03_55215982,False,False,False,False,False,False
344,B03_55225983,False,False,False,False,False,False
345,B03_55235979,False,False,True,False,False,False
346,B03_55245981,False,False,False,False,False,False
347,B03_55335984,False,False,False,False,False,False
348,B03_55345985,False,False,False,False,False,False
349,B03_55355986,False,False,False,False,False,False
350,B03_55365987,False,False,False,False,False,False
351,B03_55375988,False,False,False,True,True,True
352,B03_55385989,False,False,False,False,False,False
353,B03_55395990,True,False,False,False,False,False
354,B03_55405991,False,False,True,False,False,False
355,B03_6718,True,True,False,False,False,False
356,B03_6719,False,False,True,False,False,False
357,B03_6720,False,False,False,False,True,False
358,B03_6721,False,False,False,False,True,False
359,B03_6724,True,False,True,False,False,False
360,B03_6725,False,False,False,False,False,False
361,B03_6731,False,False,False,False,False,False
362,B03_6735,True,True,True,False,False,False
363,B03_6736,False,False,False,False,False,False
364,B03_6745,False,False,False,False,False,False
365,B03_75846286,False,False,False,False,False,False
366,B04_55185977,False,True,False,False,False,False
367,B04_55195978,False,False,False,False,False,False
368,B04_55205980,False,True,True,False,False,False
369,B04_55215982,False,False,False,False,False,False
370,B04_55225983,False,False,True,False,False,False
371,B04_55335984,False,False,True,False,False,False
372,B04_55365987,False,False,False,False,False,False
373,B04_55375988,False,False,False,True,True,False
374,B04_55385989,False,False,False,False,False,False
375,B04_55395990,True,True,True,False,False,False
376,B04_55405991,False,False,False,False,True,False
377,B04_6717,False,True,False,False,False,False
378,B04_6718,False,True,False,True,True,False
379,B04_6719,False,False,False,True,True,False
380,B04_6720,True,True,True,True,False,False
381,B04_6721,False,False,False,False,False,False
382,B04_6722,False,False,False,False,False,False
383,B04_6724,True,False,False,False,False,False
384,B04_6725,False,False,False,False,False,False
385,B04_6731,False,False,False,False,False,False
386,B04_6734,False,False,False,False,False,False
387,B04_6735,True,True,True,False,False,False
388,B04_6745,False,False,False,False,False,False
389,B05_55185977,True,True,False,False,False,False
390,B05_55195978,False,False,False,False,False,False
391,B05_55205980,False,False,False,False,False,False
392,B05_55215982,True,False,False,False,True,False
393,B05_55225983,False,False,False,False,False,False
394,B05_55235979,True,True,True,False,False,False
395,B05_55245981,False,False,True,False,False,False
396,B05_55335984,True,False,False,False,True,False
397,B05_55345985,False,False,True,False,False,False
398,B05_55355986,True,False,False,True,True,True
399,B05_55365987,False,False,False,False,False,False
400,B05_55375988,True,True,False,False,False,False
401,B05_55385989,False,False,False,False,False,False
402,B05_55395990,True,False,False,False,True,False
403,B05_55405991,False,False,False,False,False,False
404,B05_6717,False,False,False,False,False,False
405,B05_6718,False,False,False,False,False,False
406,B05_6720,True,True,False,False,False,False
407,B05_6721,True,True,True,False,False,False
408,B05_6725,True,True,True,False,False,False
409,B05_6731,False,False,True,False,False,False
410,B05_6734,False,True,False,False,False,False
411,B05_6735,True,True,True,False,False,False
412,B05_6736,True,False,True,False,False,False
413,B05_6745,False,True,False,False,True,False
414,B05_75836284,False,False,False,False,False,False
415,B05_75846286,False,False,False,False,False,False
416,B06_55185977,True,True,True,False,False,False
417,B06_55195978,True,True,False,False,False,False
418,B06_55205980,True,True,True,True,True,False
419,B06_55215982,False,False,False,False,False,False
420,B06_55235979,False,False,True,False,False,False
421,B06_55245981,False,False,False,False,False,False
422,B06_55335984,False,False,False,False,False,False
423,B06_55345985,False,False,False,False,False,False
424,B06_55355986,False,False,False,False,False,False
425,B06_55365987,False,False,False,False,False,False
426,B06_55375988,True,True,True,False,False,False
427,B06_55385989,False,False,False,False,False,False
428,B06_55395990,False,False,False,False,True,False
429,B06_55405991,False,False,False,False,False,False
430,B06_6717,False,False,False,False,False,False
431,B06_6718,False,False,False,False,False,False
432,B06_6719,False,True,False,True,True,False
433,B06_6720,True,False,True,False,False,False
434,B06_6721,False,False,False,False,False,False
435,B06_6722,False,False,False,False,False,False
436,B06_6724,True,False,True,False,True,False
437,B06_6725,False,False,False,False,False,False
438,B06_6731,True,False,True,False,False,False
439,B06_6735,True,True,True,False,False,False
440,B06_6736,True,False,True,False,False,False
441,B06_6745,False,False,False,False,False,False
442,B06_75836284,False,False,True,False,False,False
443,B06_75846286,False,False,False,False,False,False
444,B07_55185977,True,True,False,False,False,False
445,B07_55195978,True,True,True,False,False,False
446,B07_55205980,True,True,True,True,True,False
447,B07_55215982,False,False,False,False,False,False
448,B07_55225983,False,False,True,False,False,False
449,B07_55235979,True,False,True,False,False,False
450,B07_55335984,False,False,True,False,False,False
451,B07_55345985,False,False,False,False,False,False
452,B07_55355986,False,False,False,False,False,False
453,B07_55365987,True,True,True,True,True,True
454,B07_55395990,False,False,False,False,False,False
455,B07_55405991,True,True,True,True,True,False
456,B07_6717,False,False,False,False,False,False
457,B07_6718,False,True,False,False,False,False
458,B07_6720,True,True,False,True,False,True
459,B07_6721,False,True,False,False,False,False
460,B07_6722,False,False,False,False,False,False
461,B07_6724,True,True,True,False,False,False
462,B07_6725,False,False,False,False,False,False
463,B07_6731,False,False,False,False,False,False
464,B07_6734,False,False,True,False,False,False
465,B07_6735,False,True,True,False,False,False
466,B07_6736,False,True,False,False,False,False
467,B07_6745,False,False,False,True,True,False
468,B07_75846286,False,False,False,False,False,False
469,B08_55185977,True,True,True,False,False,False
470,B08_55195978,True,False,False,False,False,False
471,B08_55205980,False,False,False,False,False,False
472,B08_55215982,False,False,False,False,False,False
473,B08_55225983,True,True,True,False,False,False
474,B08_55235979,False,False,False,False,False,False
475,B08_55245981,False,False,False,False,False,False
476,B08_55335984,True,False,True,False,False,False
477,B08_55345985,False,True,False,False,False,False
478,B08_55355986,False,False,False,False,False,False
479,B08_55375988,True,False,True,False,True,False
480,B08_55385989,True,False,False,False,False,False
481,B08_55395990,True,True,False,True,True,False
482,B08_6718,False,False,False,False,False,False
483,B08_6720,False,False,False,False,False,False
484,B08_6721,False,False,False,False,False,False
485,B08_6722,False,False,False,False,False,False
486,B08_6724,True,True,True,False,False,False
487,B08_6725,False,True,False,False,False,False
488,B08_6731,True,True,True,False,False,False
489,B08_6734,False,False,False,False,False,False
490,B08_6735,False,False,False,False,False,False
491,B08_6736,False,False,False,False,False,False
492,B08_6745,False,False,False,False,False,False
493,B08_75836284,False,False,False,False,False,False
494,B09_55185977,False,False,False,False,False,False
495,B09_55195978,False,False,False,False,False,False
496,B09_55205980,True,False,False,False,False,False
497,B09_55215982,False,False,False,False,False,False
498,B09_55235979,True,False,False,False,False,False
499,B09_55245981,False,False,False,False,False,False
500,B09_55345985,False,False,False,False,True,False
