g2	43	44	0
g2	30	31	0
g2	56	57	0
g1	50	51	0
g2	68	69	0
g2	56	57	0
g1s	6	7	0
g2	68	69	0
g2	43	44	0
g2	56	57	0
g2	30	31	0
g1s	18	19	0
g2	18	19	0
g1s	18	19	0
g2	30	31	0
g2	56	57	0
g2	56	57	0
g2	56	57	0
g2	56	57	0
g2	68	69	0
g1	0	1	0
g2	68	69	0
g2	56	57	0
g2	43	44	0
g2	68	69	0
g2	43	44	0
g2	56	57	0
g2	68	69	0
g2	56	57	0
g2	56	57	0
g2	68	69	0
g1	76	77	0
g2	56	57	0
g2	5	6	0
g2	43	44	0
g2	68	69	0
g2	107	108	0
g2	43	44	0
g2	68	69	0
g2	56	57	0
g2	30	31	0
g2	30	31	0
g2	5	6	0
g2	43	44	0
g2	56	57	0
g2	56	57	0
g2	56	57	0
g2	56	57	0
g2	68	69	0
