,gene
290,ENSG00000166261
291,ENSG00000166321
292,ENSG00000166582
293,ENSG00000167065
294,ENSG00000167470
295,ENSG00000167548
296,ENSG00000167685
297,ENSG00000167755
298,ENSG00000167889
299,ENSG00000167984
300,ENSG00000168159
301,ENSG00000168286
302,ENSG00000168385
303,ENSG00000168497
304,ENSG00000169217
305,ENSG00000169740
306,ENSG00000170322
307,ENSG00000170345
308,ENSG00000171490
309,ENSG00000171608
310,ENSG00000172059
311,ENSG00000172167
312,ENSG00000172216
313,ENSG00000172361
314,ENSG00000172461
315,ENSG00000172590
316,ENSG00000172985
317,ENSG00000172986
318,ENSG00000173153
319,ENSG00000173599
320,ENSG00000173848
321,ENSG00000174206
322,ENSG00000174444
323,ENSG00000174485
324,ENSG00000174579
325,ENSG00000175175
326,ENSG00000175182
327,ENSG00000175309
328,ENSG00000175832
329,ENSG00000175970
330,ENSG00000176208
331,ENSG00000176476
332,ENSG00000177606
333,ENSG00000177853
334,ENSG00000177868
335,ENSG00000177990
336,ENSG00000178691
337,ENSG00000179008
338,ENSG00000179029
339,ENSG00000179041
340,ENSG00000179528
341,ENSG00000179532
342,ENSG00000180089
343,ENSG00000180376
344,ENSG00000180881
345,ENSG00000181035
346,ENSG00000181163
347,ENSG00000181450
348,ENSG00000181513
349,ENSG00000182272
350,ENSG00000182325
351,ENSG00000182768
352,ENSG00000183248
353,ENSG00000183340
354,ENSG00000184277
355,ENSG00000184838
356,ENSG00000184867
357,ENSG00000185024
358,ENSG00000185298
359,ENSG00000185808
360,ENSG00000186063
361,ENSG00000188167
362,ENSG00000188368
363,ENSG00000188486
364,ENSG00000188620
365,ENSG00000188739
366,ENSG00000188976
367,ENSG00000189060
368,ENSG00000189120
369,ENSG00000196352
370,ENSG00000196505
371,ENSG00000196872
372,ENSG00000197191
373,ENSG00000197498
374,ENSG00000197724
375,ENSG00000197747
376,ENSG00000198000
377,ENSG00000198722
378,ENSG00000198824
379,ENSG00000198934
380,ENSG00000198945
381,ENSG00000198959
382,ENSG00000203867
383,ENSG00000204315
384,ENSG00000204764
385,ENSG00000204843
386,ENSG00000205476
387,ENSG00000214274
388,ENSG00000214367
389,ENSG00000216937
390,ENSG00000221944
391,ENSG00000225830
392,ENSG00000232112
393,ENSG00000235194
394,ENSG00000239857
395,ENSG00000241484
396,ENSG00000243156
397,ENSG00000243660
398,ENSG00000250571
399,ENSG00000254221
400,ENSG00000255112
401,ENSG00000256806
402,ENSG00000258890
403,ENSG00000261236
404,ENSG00000262655
405,ENSG00000262919
406,ENSG00000273899
407,ENSG00000276045
