,0
395,COL4A5
396,SNORD99
397,FASTK
398,PHKG1
399,RNASEH2B
400,HDX
401,MOSPD2
402,FXYD6
403,HRAS
404,TRIM46
405,TSEN34
406,CERCAM
407,MRPS27
408,SMG6
409,PTTG1
410,ARPIN
411,BORA
412,OTUD6B
413,ACOT8
414,EEF2K
415,CCDC106
416,RBM15B
417,RHOBTB2
418,SPARC
419,DAG1
420,SUCLG2
421,CD33
422,PPP2R2A
423,ALPL
424,ZNF816
425,ENY2
426,EDRF1
427,BEST3
428,ACTR3
429,CD151
430,RMI2
431,CCNG2
432,ENDOG
433,NKTR
434,CASP3
435,EFNB1
436,CETN2
437,CALR
438,CALD1
439,CAD
440,NOLC1
441,FMNL1
442,MTA2
443,VAPB
444,ZFYVE9
445,SLC25A3
446,FGD3
447,C12orf10
448,GPBP1L1
449,HDAC11
450,MTMR9LP
451,NOS1
452,ABCC10
453,RAI1
454,YTHDC2
455,HOXA3
456,FNDC4
457,UCP3
458,ELOVL1
459,MAP1LC3B
460,PER2
461,CDC25C
462,PRRT1
463,ACAP3
464,HNRNPDL
465,THBS3
466,KCTD15
467,RHOT1
468,APOBEC2
469,KLF10
470,WDR3
471,TFCP2
472,ZFPL1
473,CAPN15
474,SOS1
475,FBLN1
476,PEX11B
477,JRK
478,USO1
479,GTF2E2
480,GMNN
481,LOC653160
482,KIAA0040
483,MAGI3
484,TTC27
485,ENO3
486,TRIB1
487,NUDT13
488,ZCCHC17
489,TRAPPC3
490,ARIH2OS
491,NAPEPLD-1
492,ALS2CR11
493,TMEM92
494,DLG1
495,DBI
496,SEMA4G
497,ZC4H2
498,ARL17A-2
499,USP25
500,ELP3
501,PGAP2
502,CNTN1
503,PPAP2A
504,CCDC50
505,KATNAL1
506,NAA16
507,MRPL14
508,SEMA6B
509,PPP1R12B
510,VCPKMT
511,RIC3
512,WT1
513,EIF4H
514,ADIPOR2
515,C10orf76
516,CDK11B
517,GSG2
518,KCTD10
519,SNX25
520,PATZ1
521,SLC52A2
522,SLC4A11
523,B3GNT5
524,AGAP3
525,CDC73
526,SLC25A27
527,NRG1
528,EVI5L
529,SMIM12
530,PPM1J
531,ZNHIT1
532,PPIH
533,ROR1
534,SLC30A9
535,ATP5G2
536,ATP5C1
537,ATP2A3
538,ATF1
539,EYA3
540,EVA1C
541,CCDC115
542,POLR3F
543,BARD1
544,SEPT4
545,BCL2L12
546,PSMB3
547,NFYC-AS1
548,RBFOX2
549,MPZL1
550,NOS3
551,AP3D1
552,DEGS1
553,IGF2BP2
554,ELL
555,PROCR
556,MSRB2
557,CECR2
558,OLA1
559,DCTN2
560,HYOU1
561,MYO1B
562,MSMO1
563,ATP11B
564,DTX2
565,CFAP44
566,ALDH6A1
567,LARP1B
568,SETD4
569,UBL7
570,ECI1
571,SF1
572,PPP1R12A
573,AKAP13
574,LMX1B
575,LEPREL2
576,ZNF709
577,EGFLAM
578,FAM101B
579,ALS2CL
580,GRIK1
581,PPARD
582,MAGED2
583,HECTD2
584,ELMO2
585,PPP2R4
586,GATC
587,TSGA10
588,FGF14
589,CREB5
590,KIAA1429
591,FAM64A
592,CYB5A
593,BTN3A2
594,PACS2
595,KDM4A-AS1
596,MAGIX
597,VEPH1
598,LINC00623
599,FAM204A
600,JDP2
601,CENPM
602,TST
603,TMEM249
604,SPOCD1
605,YAP1
606,SURF4
607,DAAM1
608,APOLD1
609,GFOD2
610,CCDC130
611,TM6SF1
612,SLC30A5
613,PGAP1
614,PPP1R9B
615,MIF4GD
616,ZSWIM8
617,TAF1C
618,TAX1BP1
619,SUDS3
620,VANGL2
621,ACTR6
622,PCNXL4
623,C7orf26
624,NARFL
625,TTC31
626,C17orf62
627,KANSL1-AS1
628,EIF3J-AS1
629,GTF2IRD1
630,NACAP1
631,SLC9A7
632,GOLGB1
633,RPA1
634,PSG5
635,GDAP2
636,SHMT2
637,DDR1
638,CHIC2
639,LINC01144
640,SMTN
641,PPP5C
642,RNF103
643,RBM39
644,MUC1
645,NR3C1
646,ACVR1B
647,SSBP1
648,SSB
649,TRIM21
650,GTPBP1
651,SPTBN1
652,PMPCB
653,EEF1E1
654,SPTAN1
655,MED7
656,MED27
657,MED21
658,TYK2
659,SPIB
660,SPG7
661,PPP6R3
662,ADIPOR1
663,AIG1
664,MPC1
665,GNAS
666,GINS2
667,TNFAIP8
668,ZNF324
669,TBC1D22A
670,ABHD6
671,FJX1
672,AGO3
673,MTCH2
674,TPPP
675,SUMO2
676,PPIL2
677,TCF19-1
678,IPO11
679,AAGAB
680,ESR2
681,EPG5
682,HIST1H2BD
683,TSC22D4
684,FANCM
685,ABHD10
686,DCP1A
687,TLDC1
688,ABCF3
689,SLC35C1
690,MRPL55
691,TDRD5
692,ZNF610
693,C18orf54
694,GCC2
695,VKORC1L1
696,CNKSR3
697,GABPB1
698,PIP5KL1
699,KCNH5
700,MMAA
701,DCAF11
702,MISP
703,ANAPC16
704,MARCH1
705,TAS2R19
706,APPL2
707,C20orf27
708,ASPSCR1
709,ARHGAP20
710,PHB2
711,ITPA
712,USP4
713,TRPC1
714,CLPB
715,MYH4
716,DST
717,GSKIP
718,PDLIM7
719,TMED5
720,CPEB1-AS1
721,SCAF4
722,ARHGEF28
723,TTC39C
724,CHST4
725,TSTD3
726,ZNF501
727,TMEM200A
728,LIN9
729,TRAF4
730,KIF1C
731,TP73
732,LZTR1
733,SLC12A7-1
734,TSSC1
735,COPS4
736,FAM13B
737,DUSP10
738,KIF5C-1
739,ZFPM2
740,NUMA1
741,DDR2
742,NRGN
743,BRAP
744,RRAGA
745,GABARAP
746,EXOC3
747,CBX3
748,METAP2
749,NKX3-1
750,DNMT3B
751,TMEM107
752,ZNF703
753,POLM
754,TIMM10
755,SYCE1
756,ATF2
757,PPP3CC
758,ANGPT2
759,ANGPT1
760,AMFR
761,PARG
762,ATP1A1
763,ZNF135
764,GULP1
765,EPB41L2
766,THRB
767,TBCEL
768,RPIA
769,SENP5
770,SLC44A5
771,AP2A1
772,CASC5
773,AKAP12
774,RGS3
775,BIN1
776,RWDD4
777,SLC10A4
778,TMEM154
779,DENND6A
780,FBXO15
781,TEX37
782,NANP
783,APOPT1
784,ZNF222
785,KIAA1841
786,PLEKHB2
787,MAST4
788,GALNT7
789,COQ3
790,SCN3B
791,SYNE2
792,CTSE
793,RAD51
794,MBNL3
795,BMPER
796,HOXC10
797,RRP12
798,NBEAL2
799,PARD6A
800,TBC1D1
801,RWDD2B
802,ZC3H4
803,PLEKHM2
804,STX18
805,TRIM9
806,ARL6IP1
807,PMPCA
808,RBMS1
809,FAM168A
810,SLC25A33
811,COQ5
812,LEAP2
813,DCUN1D5
814,RPL39L
815,C9orf64
816,GARNL3
817,MRI1
818,ZDHHC18
819,RHBDD1
820,TMEM126A
821,C2orf16
822,ACRC
823,NBPF3
824,PIN1P1
825,ENTPD1
826,LEMD3
827,CAST
828,EMP2
829,MAP1A
830,EIF2S3
831,IL18
832,CYC1
833,FAM222B
834,STXBP2
835,DIEXF
836,MUTYH
837,LACC1
838,UGT8
839,PSMG4
840,CABIN1
841,NUP210L
842,UBN1
843,KCNMA1
844,HOXD8
845,PPAT
846,CNN3
847,CYB561
848,CLU
849,CLCN3
850,CLCN4
851,CKS1B
852,CKB
853,CTSD
854,FBXO31
855,SNORA8
856,RFESD
857,ATP6V1B2
858,BAI1
859,LOC152225
860,HLA-F-AS1
861,N4BP2L2-IT2
862,H3F3C
863,TTC28-AS1
864,LINC00116
865,MGC57346
866,AADACP1
867,LOC646214
868,THAP7-AS1
869,LINC00324
870,ZNF788
871,LOC283922
872,XPNPEP1
873,DTX4
874,C1RL
875,C19orf83
876,CXADR
877,CTSZ
878,CTSV
879,MTFR1
880,MAN2C1
881,C4orf3
882,RHNO1
883,GMPPB
884,PARVB
885,GIGYF2
886,MANSC1
887,PABPC5
888,GCNT7
889,ATP5A1
890,HR
891,RBM22
892,GPR156
893,SLC35A5
894,USP47
895,ZNF600
896,FAM161A
897,PYCR1
898,RPL11
899,KLF9
900,ITPK1
901,FLJ27354
902,PLEKHA8
903,ADAMTSL4
904,GAS8
905,ZMYND8
906,ZNF630
907,SIK3
908,C14orf159
909,PSKH1
910,FAM189B
911,SRC
912,CNPY3
913,GMEB1
914,FUT9
915,GNB5
916,AVIL
917,MAP4K5
918,CSPG5
919,NAALAD2
920,CGREF1
921,BRD8
922,TOM1
923,PLXNB3
924,OAT
925,RPL4
926,RPL3
927,PAK1
928,ATF6B
929,RNF14
930,LDLRAD3
931,ACP1
932,NFE2L3
933,GOSR2
934,H6PD
935,CHD1L
936,CSNK1G3
937,ARL3
938,ABCB7
939,CSK
940,APBB2
941,HAGH
942,HIST1H1A
943,MPV17L2
944,EPS8
945,ADAMTS13
946,TARSL2
947,ACOT4
948,FRMD6
949,LRR1
950,ANKRD9
951,ZNF641
952,C12orf45
953,DEPDC4
954,TAF1
955,HFE
956,GAMT
957,NASP
958,TARS
959,MAPK14
960,ZNF561
961,ZNF276
962,ZFP62
963,ALKBH8
964,MYEOV
965,UBTD2
966,TTC30A
967,BAX
968,CHMP7
969,LONRF1
970,RNF185
971,PAM
972,BTF3L4
973,ZNF439
974,RPUSD2
975,TICRR
976,SH2B3
977,UBE2D2
978,NR2F1-AS1
979,FAM58A
980,SNX11
981,CDC42EP1
982,GALM
983,SNX7
984,ATRN
985,HNRNPH2
986,C8orf44
987,MEPCE
988,ITSN2
989,LOC100130476
990,MIR4723
991,MIR4721
992,C1orf50
993,LINC01534
994,N6AMT1
995,ZEB1
996,HK2
997,TCEA1
998,PARP2
999,NFIC
1000,SSFA2
1001,MKL1
1002,DDA1
1003,DDX5
1004,DBN1
1005,ZBTB22
1006,WDR46
1007,TOX2
1008,MMP2
1009,MFN2
1010,SBNO1
1011,KDM5C
1012,UXT
1013,SREBF1
1014,SNRPD3
1015,FOXN3
1016,SHMT1
1017,CCL20
1018,CLK2
1019,CCNC
1020,RAB27B
1021,RAB1A
1022,PSMB8
1023,PRKAR2A
1024,ORC1
1025,BCL3
1026,ATP6V0A1
1027,ATP5G1
1028,NDUFB7
1029,CITED1
1030,EWSR1
1031,KRT75
1032,APLP1
1033,IREB2
1034,IDH3G
1035,HSPA9
1036,GYG1
1037,GNG11
1038,KCNQ3
1039,FKBP5
1040,OSMR
1041,NFKB1
1042,NOL10
1043,SLC4A3
1044,ZCCHC7
