,well_plate,var_cell_test_p,var_nuc_test_p,var_cyto_test_p,wp_cell_levene_gtvariability_adj,wp_nuc_levene_gtvariability_adj,wp_cyto_levene_gtvariability_adj
0,A01_55185977,0.7002564871432209,0.0019344473961411565,0.005037546308852475,0.7345800272924667,0.01723836911714867,0.02123618249743737
1,A01_55195978,0.00019455872613874197,0.12098220855648546,0.0043881638400469405,0.0019389039463673867,0.3108992461845855,0.019032385027180337
2,A01_55215982,0.019751583656111026,0.08817955687079185,0.08162735629998111,0.07006981647568734,0.25696073994379187,0.18390153016434377
3,A01_55225983,1.4320535152946392e-05,1.4447751342486277e-12,0.1318728224254604,0.0002396853672073271,2.9017752888639743e-10,0.25791755756769813
4,A01_55235979,1.8460480188029892e-05,0.0006831287325483979,0.030236402414775442,0.0002903633359695545,0.007655146440703291,0.08890455710020122
5,A01_55245981,0.054712502246176145,0.37140546072317526,0.10889191330550849,0.14488270118130417,0.557962979256738,0.22618678253037602
6,A01_55335984,0.03246084032798195,0.028442830337068584,0.19857070501756624,0.09832396066863211,0.12254823434007603,0.33776424156408175
7,A01_55345985,0.6356957913504157,0.635698599102303,0.6356957907924535,0.6764308647091307,0.6629631883309453,0.6891254679544233
8,A01_55355986,1.3750999777058108,0.5659104907497631,0.00025471562196833445,1.0,0.6629631883309453,0.0018072350243459817
9,A01_55365987,0.59462524226552,0.5514165298993859,0.5852713828439124,0.6764308647091307,0.6629631883309453,0.685266179643702
10,A01_55375988,4.95713765852482e-13,0.2821878439659998,1.3621495947865885e-14,8.089429016505191e-11,0.48701866787824366,2.092101524698696e-12
11,A01_55385989,0.021863652185186058,0.2091757496311734,0.06838549108969792,0.07531134017878734,0.4118837724637962,0.16025473715091804
12,A01_55395990,0.11544893909167837,0.048367752321103415,0.21118617081342791,0.23829026084456303,0.1756442299171085,0.35278764682908526
13,A01_55405991,0.0016626289590544235,0.25718927048009144,0.05968721080276298,0.010619272540760815,0.461844006343548,0.14508287715571289
14,A01_6717,0.011272100564252615,0.20254502637347885,0.5611767031777001,0.04601608258866666,0.4057347097296228,0.6714720485806895
15,A01_6718,4.483274365795819e-06,0.00018707219719494816,4.369505104247358e-06,9.454301262142226e-05,0.0028732088639765274,6.036390384756535e-05
16,A01_6719,0.6279412854538122,0.6349668112880805,0.02025733325652609,0.6764308647091307,0.6629631883309453,0.06411139046398742
17,A01_6720,0.022055878079783778,0.0019479588580693975,0.06865716824111184,0.07570992501640253,0.017251227038769096,0.16063070454976974
18,A01_6721,0.4193090804949067,0.4363705416473109,0.0012592933605206271,0.5509894359195779,0.6037706838511254,0.0068453622542625865
19,A01_6722,1.2493396074372997e-05,0.5190257833670746,0.5574606775247687,0.00022040714290667496,0.6602289863915224,0.6695169406702719
20,A01_6724,0.061536193592354044,0.0673764785262573,0.0016197577714043459,0.15434901170007428,0.2163837459188903,0.00844149209807734
21,A01_6725,0.5727514059617946,0.35382875959860455,0.6027215557172776,0.6658298846688538,0.5444000538078707,0.6891254679544233
22,A01_6731,0.2900667378471168,0.13987120074488177,3.570338168789584e-05,0.432532411489904,0.33846497233075656,0.000347815597701807
23,A01_6734,0.00011405761793891458,0.00606897061953527,3.524909483404406e-06,0.001256558820415637,0.0397144919488887,5.084827989596079e-05
24,A01_6735,2.3447862208078342e-05,0.0013570536337141632,0.009202613494737407,0.0003487951584423249,0.013370819009915774,0.03408230331171542
