,well_plate,ENSG,in_firstbatch,in_secondbatch,is_variable,is_variable_comp,is_dianaccd,is_newccd
876,C08_6721,ENSG00000089234,False,True,True,True,False,False
877,C08_6722,ENSG00000173926,False,True,True,True,False,True
878,C08_6724,ENSG00000124615,False,True,True,True,False,False
879,C08_6725,ENSG00000169410,False,True,True,True,False,False
880,C08_6731,ENSG00000159714,False,True,True,True,False,False
881,C08_6734,ENSG00000136521,False,True,True,True,False,False
882,C08_6735,ENSG00000173706,False,True,True,False,False,False
883,C08_6736,ENSG00000124107,False,True,True,False,False,False
884,C08_6745,ENSG00000163755,False,True,True,True,False,False
885,C08_75836284,ENSG00000128059,True,False,True,False,True,False
886,C09_55185977,ENSG00000064012,True,False,True,False,False,False
887,C09_55195978,ENSG00000158966,True,False,True,True,False,False
888,C09_55205980,ENSG00000108599,True,False,True,True,True,True
889,C09_55215982,ENSG00000121390,True,False,True,True,False,False
890,C09_55225983,ENSG00000182810,True,False,True,True,False,False
891,C09_55235979,ENSG00000146670,True,False,True,False,True,False
892,C09_55245981,ENSG00000081154,True,True,True,True,False,False
893,C09_55335984,ENSG00000164778,True,False,True,False,False,False
894,C09_55345985,ENSG00000138801,True,False,True,True,True,True
895,C09_55355986,ENSG00000143156,True,True,True,True,False,False
896,C09_55365987,ENSG00000100554,True,False,True,True,True,True
897,C09_55375988,ENSG00000003147,True,False,True,False,False,False
898,C09_55385989,ENSG00000174607,True,False,True,True,False,False
899,C09_55395990,ENSG00000130675,True,False,True,True,True,False
900,C09_55405991,ENSG00000127990,True,False,True,True,True,True
901,C09_6717,ENSG00000068383,False,True,True,True,False,False
902,C09_6718,ENSG00000145241,False,True,True,True,False,True
903,C09_6719,ENSG00000168280,False,True,True,False,False,False
904,C09_6720,ENSG00000130340,True,True,True,True,False,False
905,C09_6721,ENSG00000116337,False,True,True,True,False,False
906,C09_6722,ENSG00000166333,False,True,True,True,False,True
907,C09_6724,ENSG00000143156,True,True,True,True,False,False
908,C09_6725,ENSG00000165449,False,True,True,True,False,False
909,C09_6731,ENSG00000136699,False,True,True,True,False,False
910,C09_6734,ENSG00000135250,False,True,True,True,False,False
911,C09_6735,ENSG00000159082,False,True,True,False,False,False
912,C09_6736,ENSG00000097007,False,True,True,True,False,False
913,C09_6745,ENSG00000166908,False,True,True,False,False,False
914,C10_55185977,ENSG00000106261,True,False,True,True,True,True
915,C10_55195978,ENSG00000105251,True,False,True,True,False,False
916,C10_55205980,ENSG00000159263,True,False,True,True,False,False
917,C10_55215982,ENSG00000168497,True,False,True,True,False,False
918,C10_55225983,ENSG00000134815,True,False,True,True,False,False
919,C10_55235979,ENSG00000092621,True,False,True,True,False,False
920,C10_55245981,ENSG00000184384,True,False,True,True,False,False
921,C10_55335984,ENSG00000155367,True,False,True,False,False,False
922,C10_55345985,ENSG00000054654,True,False,True,True,True,False
923,C10_55355986,ENSG00000128951,True,False,True,True,False,False
924,C10_55365987,ENSG00000198961,True,False,True,True,False,False
925,C10_55375988,ENSG00000117597,True,False,True,False,False,False
