ccd_prots_withmitotic,knownCCD
ENSG00000143702,False
ENSG00000143951,False
ENSG00000144048,False
ENSG00000144339,False
ENSG00000144560,False
ENSG00000144597,False
ENSG00000145244,False
ENSG00000145386,True
ENSG00000145388,False
ENSG00000145391,True
ENSG00000145536,False
ENSG00000145721,False
ENSG00000145808,False
ENSG00000145868,False
ENSG00000145945,False
ENSG00000146670,True
ENSG00000147162,False
ENSG00000147231,False
ENSG00000147256,False
ENSG00000147421,True
ENSG00000147799,False
ENSG00000148187,False
ENSG00000148296,False
ENSG00000148399,False
ENSG00000148704,True
ENSG00000148737,True
ENSG00000148773,True
ENSG00000148935,True
ENSG00000149503,True
ENSG00000149636,True
ENSG00000150637,False
ENSG00000151414,True
ENSG00000151702,False
ENSG00000151883,False
ENSG00000152332,True
ENSG00000153044,True
ENSG00000154118,False
ENSG00000154760,False
ENSG00000155393,True
ENSG00000155438,True
ENSG00000155980,False
ENSG00000156011,False
ENSG00000156239,False
ENSG00000156642,False
ENSG00000156802,True
ENSG00000156970,True
ENSG00000157184,False
ENSG00000157259,False
ENSG00000157456,True
ENSG00000157500,True
ENSG00000158161,False
ENSG00000158163,False
ENSG00000158258,False
ENSG00000158321,False
ENSG00000159023,True
ENSG00000159231,False
ENSG00000160208,False
ENSG00000160214,True
ENSG00000160908,False
ENSG00000161202,False
ENSG00000161800,True
ENSG00000161896,False
ENSG00000161956,False
ENSG00000161981,False
ENSG00000162367,True
ENSG00000162384,False
ENSG00000162512,False
ENSG00000162591,False
ENSG00000162733,True
ENSG00000162755,False
ENSG00000162772,True
ENSG00000162999,False
ENSG00000163249,True
ENSG00000163395,False
ENSG00000163558,True
ENSG00000163608,True
ENSG00000163807,False
ENSG00000163938,True
ENSG00000163950,True
ENSG00000164089,False
ENSG00000164120,True
ENSG00000164171,True
ENSG00000164379,False
ENSG00000164543,False
ENSG00000164638,False
ENSG00000164904,False
ENSG00000164941,True
ENSG00000164951,False
ENSG00000164989,False
ENSG00000165046,True
ENSG00000165480,True
ENSG00000165626,False
ENSG00000165660,True
ENSG00000165732,True
ENSG00000165733,False
ENSG00000165863,False
ENSG00000166012,False
ENSG00000166173,False
ENSG00000166200,True
ENSG00000166261,True
