ENSG00000167552
ENSG00000197956
ENSG00000148180
ENSG00000102316
ENSG00000123933
ENSG00000105372
ENSG00000164938
ENSG00000108828
ENSG00000105270
ENSG00000124766
ENSG00000239779
ENSG00000146278
ENSG00000196975
ENSG00000140264
ENSG00000231925
ENSG00000030582
ENSG00000198832
ENSG00000105404
ENSG00000173801
ENSG00000163346
ENSG00000179222
ENSG00000185567
ENSG00000163191
ENSG00000021355
ENSG00000167996
ENSG00000110492
ENSG00000185088
ENSG00000119801
ENSG00000175482
ENSG00000197746
ENSG00000164733
ENSG00000131981
ENSG00000014216
ENSG00000110628
ENSG00000115129
ENSG00000106330
ENSG00000012822
ENSG00000130948
ENSG00000135404
ENSG00000134590
ENSG00000136295
ENSG00000102804
ENSG00000071082
ENSG00000256514
ENSG00000101439
ENSG00000150593
ENSG00000204580
ENSG00000120885
ENSG00000100100
ENSG00000143390
ENSG00000139182
ENSG00000136156
ENSG00000118971
ENSG00000170581
ENSG00000168916
ENSG00000167700
ENSG00000222009
ENSG00000111678
ENSG00000138131
ENSG00000115461
ENSG00000123240
ENSG00000124225
ENSG00000116209
ENSG00000197747
ENSG00000005238
ENSG00000166340
ENSG00000114796
ENSG00000151914
ENSG00000164050
ENSG00000047346
ENSG00000234068
ENSG00000198892
ENSG00000067445
ENSG00000187243
ENSG00000105856
ENSG00000128564
ENSG00000168056
ENSG00000102409
ENSG00000163683
ENSG00000219200
ENSG00000129003
ENSG00000255112
ENSG00000110011
ENSG00000123384
ENSG00000213722
ENSG00000131171
ENSG00000204272
ENSG00000103024
ENSG00000087086
ENSG00000175155
ENSG00000189077
ENSG00000205336
ENSG00000181722
ENSG00000164096
ENSG00000111897
ENSG00000188243
ENSG00000008988
ENSG00000068745
ENSG00000281406
ENSG00000071553
