cell,phase
F11_356,G1
F11_357,G1
F12_355,G2M
F12_356,S-ph
F12_357,
F13_355,S-ph
F13_356,G1
F13_357,G1
F14_355,G1
F14_356,G1
F14_357,S-ph
F15_355,G2M
F15_356,S-ph
F15_357,G2M
F16_355,
F16_356,
F16_357,G2M
F17_355,G2M
F17_356,S-ph
F17_357,S-ph
F18_355,S-ph
F18_356,G2M
F18_357,G1
F19_355,G2M
F19_356,
F19_357,S-ph
F1_355,G1
F1_356,S-ph
F1_357,G1
F20_355,G1
F20_356,
F20_357,S-ph
F21_355,G2M
F21_356,
F21_357,G2M
F22_355,G1
F22_356,G2M
F22_357,
F23_355,G2M
F23_356,G2M
F23_357,G2M
F24_355,G1
F24_356,G2M
F24_357,S-ph
F2_355,G1
F2_356,G2M
F2_357,G2M
F3_355,S-ph
F3_356,G1
F3_357,G2M
F4_355,G2M
F4_356,G1
F4_357,G2M
F5_355,S-ph
F5_356,G1
F5_357,G1
F6_355,G2M
F6_356,S-ph
F6_357,S-ph
F7_355,G2M
F7_356,G1
F7_357,S-ph
F8_355,S-ph
F8_356,G2M
F8_357,S-ph
F9_355,G2M
F9_356,G2M
F9_357,G2M
G10_355,G2M
G10_356,G2M
G10_357,G2M
G11_355,G2M
G11_356,S-ph
G11_357,G2M
G12_355,
G12_356,G2M
G12_357,G2M
G13_355,G1
G13_356,G1
G13_357,S-ph
G14_355,G2M
G14_356,G1
G14_357,G1
G15_355,S-ph
G15_356,G2M
G15_357,G2M
G16_355,G1
G16_356,G1
G16_357,G1
G17_355,S-ph
G17_356,S-ph
G17_357,G1
G18_355,G2M
G18_356,G1
G18_357,G1
G19_355,
G19_356,G2M
G19_357,G1
G1_355,S-ph
G1_356,S-ph
G1_357,G2M
G20_355,G1
G20_356,G1
G20_357,G1
G21_355,S-ph
G21_356,G1
G21_357,G1
G22_355,G1
G22_356,S-ph
G22_357,S-ph
G23_355,G2M
G23_356,G1
G23_357,G2M
G24_355,G1
G24_356,S-ph
G24_357,G1
G2_355,G2M
G2_356,G2M
G2_357,G1
G3_355,G2M
G3_356,G1
G3_357,G2M
G4_355,
G4_356,
G4_357,G2M
G5_355,S-ph
G5_356,S-ph
G5_357,G2M
G6_355,G2M
G6_356,G2M
G6_357,S-ph
G7_355,G1
G7_356,G1
G7_357,G2M
G8_355,G2M
G8_356,S-ph
G8_357,G2M
G9_355,G2M
G9_356,G1
G9_357,G1
H10_355,G2M
H10_356,
H10_357,G1
H11_355,G1
H11_356,S-ph
H11_357,S-ph
H12_355,G2M
H12_356,G2M
H12_357,
H13_355,S-ph
H13_356,G1
H13_357,G2M
H14_355,S-ph
H14_356,
H14_357,
H15_355,S-ph
H15_356,
H15_357,S-ph
H16_355,G2M
H16_356,G2M
H16_357,S-ph
H17_355,G1
H17_356,G2M
H17_357,G1
H18_355,G2M
H18_356,
H18_357,G1
H19_355,G1
H19_356,G2M
H19_357,G1
H1_355,S-ph
H1_356,S-ph
H1_357,S-ph
H20_355,G2M
H20_356,G2M
H20_357,
H21_355,G1
H21_356,
H21_357,S-ph
H22_355,G1
H22_356,S-ph
H22_357,G2M
H23_355,G1
H23_356,G2M
H23_357,S-ph
H24_355,S-ph
H24_356,G1
H24_357,G2M
H2_355,S-ph
H2_356,S-ph
H2_357,
H3_355,G2M
H3_356,
H3_357,G1
H4_355,S-ph
H4_356,S-ph
H4_357,
H5_355,
H5_356,S-ph
H5_357,G1
H6_355,S-ph
H6_356,S-ph
H6_357,G1
H7_355,G1
H7_356,S-ph
H7_357,G2M
H8_355,S-ph
H8_356,G2M
H8_357,S-ph
H9_355,G1
H9_356,S-ph
H9_357,G1
I10_355,S-ph
I10_356,G2M
I10_357,S-ph
I11_355,G2M
I11_356,S-ph
I11_357,
I12_355,G2M
I12_356,G2M
I12_357,G2M
I13_355,G2M
I13_356,G2M
I13_357,S-ph
I14_355,S-ph
I14_356,G1
I14_357,S-ph
I15_355,G1
I15_356,G2M
I15_357,G1
I16_355,S-ph
I16_356,G2M
I16_357,S-ph
I17_355,G2M
I17_356,G1
I17_357,G1
I18_355,G1
I18_356,G1
I18_357,S-ph
I19_355,S-ph
I19_356,G1
I19_357,S-ph
I1_355,G2M
I1_356,G1
I1_357,G2M
I20_355,S-ph
I20_356,G1
I20_357,G2M
I21_355,S-ph
I21_356,G1
I21_357,S-ph
I22_355,G2M
I22_356,
I22_357,G1
I23_355,G2M
I23_356,G2M
I23_357,G1
I24_355,G2M
I24_356,S-ph
I24_357,S-ph
I2_355,G1
I2_356,
I2_357,G2M
I3_355,G2M
I3_356,G2M
I3_357,S-ph
I4_355,G1
I4_356,G2M
I4_357,G2M
I5_355,G1
I5_356,S-ph
