category,modifiedProteins,modifiedProtein%,meanModSites,medianModSites,totalModSites,"meanModPerEffBase, mean mods / seq length","medianModPerEffBase, mean mods / seq length",twoSidedKruskal_vs_allProtsModPerEffBase,modifiedOccProteins,modifiedOccProtein%,meanOccModSites,medianOccModSites,totalOccModSites,twoSidedKruskal_vs_allProtsOccupancy,medianCoverage,medianCoverageOfModProteins
all genes detected,5685,81.04062722736992,13.881970096745823,10.0,78919.0,0.03705170483356166,0.028438886647841874,1.0,4194,59.78617248752672,10.790653314258465,5.0,45256,1.0,0.29566744730679156,0.30779857397504456
all transcript CCD genes,262,92.25352112676056,18.188931297709924,11.0,4765.5,0.04607599686661997,0.03813486091967105,6.80024810079716e-09,222,78.16901408450704,11.927927927927929,6.0,2648,0.30215105029897216,0.34164663292034203,0.34815211818986813
all transcript non-CCD genes,5423,80.56752339919774,13.673888991333211,10.0,74153.5,0.03661571654061286,0.028000000000000004,0.35125315238071264,3972,59.010548209775656,10.727089627391742,5.0,42608,0.8493596083034655,0.29351395730706076,0.30644257703081235
transcript regulated CCD proteins,64,96.96969696969697,24.625,14.0,1576.0,0.046154176451439405,0.042987412272229734,2.5433712260602374e-05,58,87.87878787878788,13.551724137931034,5.5,786,3.978160965191282e-08,0.36129298002597654,0.36129298002597654
non-transcript regulated CCD proteins,206,85.12396694214877,14.609223300970873,11.5,3009.5,0.03807813935800704,0.02899866378265567,0.5181504393366231,162,66.94214876033058,10.253086419753087,5.0,1661,0.023567636642907532,0.3010179418836241,0.3137878280716094
non-CCD proteins,406,83.3675564681725,15.216748768472906,10.0,6178.0,0.036776968751633055,0.029877617552696037,0.7557847087908944,304,62.422997946611915,10.953947368421053,6.0,3330,0.3992186056894673,0.29836956521739133,0.31082325701877533
CCD proteins,160,87.91208791208791,16.871875,12.0,2699.5,0.03690539608169271,0.03164573907371725,0.32809662287094465,124,68.13186813186813,10.28225806451613,5.0,1275,5.6810720457274785e-09,0.30865111825512026,0.32179032268853236
