well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,perc_var_rng_wilcoxon_p_adj,pass_percvar_rng,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
G05_55395990,ENSG00000183527,9.83E-05,0.089286402,FALSE,0.000862568,TRUE,7.05E-149,TRUE,FALSE,TRUE,FALSE,PSMG1
G05_55405991,ENSG00000080819,0.000217189,0.049633173,FALSE,0.0124879,TRUE,6.05E-161,TRUE,FALSE,TRUE,FALSE,CPOX
G05_6736,ENSG00000141279,1.74E-06,0.089507217,FALSE,0.632769319,FALSE,6.90E-157,TRUE,FALSE,TRUE,FALSE,NPEPPS
G05_75846286,ENSG00000253251,0.000159668,0.129589761,FALSE,0.39880682,FALSE,1.19E-163,TRUE,FALSE,TRUE,FALSE,SHLD3
G06_55195978,ENSG00000130176,0.000483024,0.052792144,FALSE,0.184165464,FALSE,6.32E-156,TRUE,FALSE,TRUE,FALSE,CNN1
G06_55205980,ENSG00000157184,9.49E-06,0.165407918,TRUE,0.005680489,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,CPT2
G06_55215982,ENSG00000143578,0.001061818,0.077175415,FALSE,0.801623794,FALSE,7.25E-110,TRUE,FALSE,TRUE,FALSE,CREB3L4
G06_55225983,ENSG00000005194,0.000373918,0.122012923,FALSE,0.188303007,FALSE,2.02E-149,TRUE,FALSE,TRUE,FALSE,CIAPIN1
G06_55235979,ENSG00000125445,0.000324998,0.032074178,FALSE,0.496766427,FALSE,1.56E-127,FALSE,FALSE,TRUE,FALSE,MRPS7
G06_55245981,ENSG00000090674,0.000264803,0.071144421,FALSE,0.456210773,FALSE,9.62E-135,TRUE,FALSE,TRUE,FALSE,MCOLN1
G06_55335984,ENSG00000164338,0.000286372,0.090897641,FALSE,0.657057266,FALSE,5.12E-59,TRUE,FALSE,TRUE,FALSE,UTP15
G06_55345985,ENSG00000117222,0.000701211,0.125894914,FALSE,0.121198623,FALSE,2.62E-164,TRUE,FALSE,TRUE,FALSE,RBBP5
G06_55385989,ENSG00000096433,0.000442666,0.084476443,FALSE,0.698279497,FALSE,6.43E-162,TRUE,FALSE,TRUE,FALSE,ITPR3
G06_55395990,ENSG00000198081,0.000132957,0.094814783,FALSE,0.133632364,FALSE,5.75E-148,TRUE,FALSE,TRUE,FALSE,ZBTB14
G06_55405991,ENSG00000169220,0.000399243,0.093945339,FALSE,0.013338411,TRUE,7.64E-132,TRUE,FALSE,TRUE,FALSE,RGS14
G07_55185977,ENSG00000204103,0.000965989,0.194598941,TRUE,0.949967423,FALSE,2.85E-164,TRUE,FALSE,TRUE,FALSE,MAFB
G07_55195978,ENSG00000185442,0.000589946,0.086281092,FALSE,0.456210773,FALSE,1.58E-62,FALSE,FALSE,TRUE,FALSE,FAM174B
G07_55205980,ENSG00000171824,0.000293218,0.102355657,FALSE,0.068507927,FALSE,5.72E-164,TRUE,FALSE,TRUE,FALSE,EXOSC10
G07_55215982,ENSG00000155629,0.001771836,0.093447389,FALSE,0.008489612,TRUE,0.274305158,FALSE,FALSE,TRUE,FALSE,PIK3AP1
G07_55225983,ENSG00000119630,0.001349677,0.159631049,TRUE,0.022331791,TRUE,2.58E-164,TRUE,TRUE,FALSE,FALSE,PGF
G07_55235979,ENSG00000104679,0.000409927,0.157688343,TRUE,0.012081891,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,R3HCC1
G07_55345985,ENSG00000213380,0.000103882,0.090927716,FALSE,0.063569836,FALSE,9.32E-98,TRUE,FALSE,TRUE,FALSE,COG8
G07_55355986,ENSG00000161896,0.000570214,0.377570516,TRUE,9.52E-18,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,IP6K3
G07_55365987,ENSG00000074590,0.001788331,0.232884231,TRUE,4.11E-07,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,NUAK1
G07_55375988,ENSG00000198730,0.000355985,0.152174549,TRUE,0.227083337,FALSE,8.05E-89,TRUE,FALSE,TRUE,FALSE,CTR9
G07_55395990,ENSG00000198682,1.89E-05,0.129348223,FALSE,0.214787544,FALSE,1.83E-96,TRUE,FALSE,TRUE,FALSE,PAPSS2
G07_55405991,ENSG00000165660,0.000205061,0.251202502,TRUE,1.24E-05,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,ABRAXAS2
G07_6717,ENSG00000082126,0.000780864,0.013132995,FALSE,0.754091378,FALSE,8.56E-14,TRUE,FALSE,TRUE,FALSE,MPP4
G07_6720,ENSG00000178685,0.000254619,0.0825421,FALSE,0.81764054,FALSE,1.00E-83,FALSE,FALSE,TRUE,FALSE,PARP10
G07_6724,ENSG00000109390,0.000135693,0.17572405,TRUE,0.584141239,FALSE,2.55E-164,TRUE,FALSE,TRUE,FALSE,NDUFC1
G08_55185977,ENSG00000013810,0.000268572,0.243132736,TRUE,0.004034818,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,TACC3
G08_55195978,ENSG00000143507,8.97E-05,0.140927296,TRUE,0.053184623,FALSE,6.70E-104,TRUE,FALSE,TRUE,FALSE,DUSP10
G08_55205980,ENSG00000124688,0.000427094,0.152622717,TRUE,0.004686881,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,MAD2L1BP
G08_55215982,ENSG00000136045,0.002013718,0.383565297,TRUE,2.10E-08,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,PWP1
G08_55225983,ENSG00000167014,0.002869644,0.091106427,FALSE,0.704731821,FALSE,2.82E-137,TRUE,FALSE,TRUE,FALSE,TERB2
G08_55235979,ENSG00000277161,0.001036507,0.110396097,FALSE,0.617823366,FALSE,1.15E-73,TRUE,FALSE,TRUE,FALSE,PIGW
G08_55335984,ENSG00000196712,0.000358374,0.159230392,TRUE,0.36177294,FALSE,8.39E-70,FALSE,FALSE,TRUE,FALSE,NF1
G08_55345985,ENSG00000068654,0.001134723,0.087700153,FALSE,0.003216008,TRUE,2.11E-163,TRUE,FALSE,TRUE,FALSE,POLR1A
G08_55355986,ENSG00000184277,0.000261427,0.204111044,TRUE,0.003826305,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,TM2D3
G08_55365987,ENSG00000108961,0.00012231,0.214591939,TRUE,0.006974305,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,RANGRF
G08_55375988,ENSG00000111640,0.022939992,0.120417449,FALSE,0.001925366,TRUE,2.55E-164,TRUE,FALSE,TRUE,FALSE,GAPDH
G08_55385989,ENSG00000165462,0.000108815,0.069383939,FALSE,0.140435165,FALSE,4.84E-105,TRUE,FALSE,TRUE,FALSE,PHOX2A
G08_55395990,ENSG00000165061,0.000126872,0.035518324,FALSE,0.012128328,TRUE,1.11E-159,TRUE,FALSE,TRUE,FALSE,ZMAT4
G08_55405991,ENSG00000167393,0.000154689,0.111257392,FALSE,0.048872848,TRUE,2.80E-14,TRUE,FALSE,TRUE,FALSE,PPP2R3B
G08_6718,ENSG00000214274,8.10E-05,0.444267339,TRUE,8.44E-08,TRUE,2.55E-164,TRUE,TRUE,FALSE,FALSE,ANG
G08_6745,ENSG00000108651,1.09E-05,0.046042694,FALSE,0.296120921,FALSE,4.70E-77,TRUE,FALSE,TRUE,FALSE,UTP6
G09_55185977,ENSG00000169710,0.000147376,0.169256501,TRUE,0.067500305,FALSE,2.09E-151,TRUE,FALSE,TRUE,FALSE,FASN
G09_55205980,ENSG00000177853,0.000168776,0.301557119,TRUE,5.68E-11,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,ZNF518A
G09_55215982,ENSG00000185347,0.00069537,0.079953063,FALSE,0.072132833,FALSE,5.94E-160,TRUE,FALSE,TRUE,FALSE,TEDC1
G09_55225983,ENSG00000179954,0.000243639,0.165254196,TRUE,0.052288564,FALSE,3.57E-164,TRUE,FALSE,TRUE,TRUE,SSC5D
G09_55245981,ENSG00000206562,0.000744846,0.099212448,FALSE,0.155146929,FALSE,3.61E-141,TRUE,FALSE,TRUE,FALSE,METTL6
G09_55345985,ENSG00000119401,0.000164313,0.031141487,FALSE,0.278427553,FALSE,1.18E-41,FALSE,FALSE,TRUE,FALSE,TRIM32
G09_55355986,ENSG00000004779,5.32E-05,0.094791615,FALSE,0.020676297,TRUE,1.39E-77,TRUE,FALSE,TRUE,FALSE,NDUFAB1
G09_55365987,ENSG00000178691,0.007622409,0.199319722,TRUE,6.44E-06,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,SUZ12
G09_55375988,ENSG00000173093,1.98E-05,0.102145772,FALSE,0.138913711,FALSE,3.43E-89,TRUE,FALSE,TRUE,FALSE,CCDC63
G09_55385989,ENSG00000138029,0.000497797,0.136518988,FALSE,0.005680489,TRUE,3.90E-164,TRUE,FALSE,TRUE,FALSE,HADHB
G09_55395990,ENSG00000065328,0.000556135,0.209173924,TRUE,2.33E-06,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,MCM10
G09_6736,ENSG00000075856,1.61E-06,0.097988801,FALSE,0.063491437,FALSE,3.02E-164,TRUE,FALSE,TRUE,FALSE,SART3
G09_75836284,ENSG00000168734,0.000157231,0.116683492,FALSE,0.138913711,FALSE,3.76E-106,TRUE,FALSE,TRUE,FALSE,PKIG
