well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
H05_75846286,ENSG00000128849,28189.63358,0.373324458,TRUE,1.80E-15,TRUE,TRUE,FALSE,FALSE,CGNL1
H06_55185977,ENSG00000068796,4853.475564,0.452841383,TRUE,1.17E-08,TRUE,TRUE,FALSE,TRUE,KIF2A
H06_55195978,ENSG00000117143,986329.1903,0.179612887,FALSE,1.10E-06,TRUE,FALSE,TRUE,FALSE,UAP1
H06_55215982,ENSG00000179133,122397.4212,0.366798682,TRUE,4.70E-18,TRUE,TRUE,FALSE,TRUE,C10orf67
H06_55225983,ENSG00000111331,40264.54874,0.40509782,TRUE,1.03E-18,TRUE,TRUE,FALSE,FALSE,OAS3
H06_55235979,ENSG00000096070,523747.7764,0.188329907,FALSE,2.03E-07,TRUE,FALSE,TRUE,FALSE,BRPF3
H06_55245981,ENSG00000111653,186563.6957,0.357967322,TRUE,4.90E-15,TRUE,TRUE,FALSE,TRUE,ING4
H06_55335984,ENSG00000181666,152722.6659,0.252913611,TRUE,9.61E-09,TRUE,TRUE,FALSE,FALSE,ZNF875
H06_55345985,ENSG00000070778,1494.920207,0.308004906,TRUE,8.32E-09,TRUE,TRUE,FALSE,TRUE,PTPN21
H06_55355986,ENSG00000145041,19632.7501,0.291359133,TRUE,7.62E-10,TRUE,TRUE,FALSE,FALSE,DCAF1
H06_55365987,ENSG00000221843,18267.24148,0.30849813,TRUE,1.59E-10,TRUE,TRUE,FALSE,FALSE,C2orf16
H06_55385989,ENSG00000070669,369846.6879,0.11156207,FALSE,0.026839533,TRUE,FALSE,TRUE,TRUE,ASNS
H06_55405991,ENSG00000100401,4269603.314,0.276084787,TRUE,1.82E-08,TRUE,TRUE,FALSE,FALSE,RANGAP1
H06_6719,ENSG00000214274,3427.671979,0.469021709,TRUE,2.12E-16,TRUE,TRUE,FALSE,FALSE,ANG
H06_6724,ENSG00000128050,12011.94577,0.186105708,FALSE,0.068428384,FALSE,FALSE,TRUE,FALSE,PAICS
H06_75846286,ENSG00000088543,107136.5939,0.187873362,FALSE,5.45E-05,TRUE,FALSE,TRUE,FALSE,C3orf18
H07_55195978,ENSG00000183943,3323.613317,0.367053359,TRUE,8.80E-11,TRUE,TRUE,FALSE,FALSE,PRKX
H07_55215982,ENSG00000066084,139546.7586,0.141408665,FALSE,2.60E-06,TRUE,FALSE,TRUE,FALSE,DIP2B
H07_55225983,ENSG00000005513,60415.08627,0.341655791,TRUE,2.89E-13,TRUE,TRUE,FALSE,TRUE,SOX8
H07_55235979,ENSG00000104325,2370124.853,0.291990693,TRUE,8.48E-11,TRUE,TRUE,FALSE,FALSE,DECR1
H07_55245981,ENSG00000187144,485878.3376,0.167967397,FALSE,1.99E-07,TRUE,FALSE,TRUE,FALSE,SPATA21
H07_55335984,ENSG00000100197,70449.08574,0.211973721,FALSE,1.48E-08,TRUE,FALSE,TRUE,FALSE,CYP2D6
H07_55345985,ENSG00000167470,1579.64764,0.629756723,TRUE,1.27E-23,TRUE,TRUE,FALSE,TRUE,MIDN
H07_55355986,ENSG00000036549,6117.669198,0.321725333,TRUE,2.10E-10,TRUE,TRUE,FALSE,FALSE,AC118549.1
H07_55365987,ENSG00000127419,65786.28486,0.336063474,TRUE,1.66E-09,TRUE,TRUE,FALSE,FALSE,TMEM175
H07_55395990,ENSG00000099949,3774.715369,0.2217798,FALSE,3.69E-08,TRUE,FALSE,TRUE,FALSE,LZTR1
H07_55405991,ENSG00000138161,25647.57054,0.289913755,TRUE,1.03E-14,TRUE,TRUE,FALSE,FALSE,CUZD1
H07_6718,ENSG00000141510,468.7848187,0.294196888,TRUE,0.000180802,TRUE,TRUE,FALSE,FALSE,TP53
H08_55185977,ENSG00000166912,7721.796629,0.41675675,TRUE,7.66E-10,TRUE,TRUE,FALSE,FALSE,MTMR10
H08_55195978,ENSG00000162391,120477.9606,0.190064996,FALSE,3.48E-08,TRUE,FALSE,TRUE,FALSE,FAM151A
H08_55215982,ENSG00000110057,104945.3299,0.344674352,TRUE,8.82E-17,TRUE,TRUE,FALSE,FALSE,UNC93B1
H08_55225983,ENSG00000141971,411887.869,0.184076196,FALSE,1.94E-07,TRUE,FALSE,TRUE,FALSE,MVB12A
H08_55235979,ENSG00000163697,3086131.126,0.209311673,FALSE,7.62E-06,TRUE,FALSE,TRUE,FALSE,APBB2
H08_55245981,ENSG00000144821,95927.00299,0.190163963,FALSE,9.50E-09,TRUE,FALSE,TRUE,FALSE,MYH15
H08_55335984,ENSG00000130045,47803.24945,0.094862646,FALSE,0.159210607,FALSE,FALSE,TRUE,FALSE,NXNL2
H08_55345985,ENSG00000157601,35824.6714,0.281236769,TRUE,2.25E-09,TRUE,TRUE,FALSE,FALSE,MX1
H08_55355986,ENSG00000156853,11243.10505,0.278826614,TRUE,5.22E-11,TRUE,TRUE,FALSE,TRUE,ZNF689
