,fucci_time
532,0.855
533,0.25
534,0.67
535,0.593
536,0.526
537,0.726
538,0.764
539,0.003
540,0.188
541,0.697
542,0.525
543,0.16
544,0.382
545,0.91
546,0.249
547,0.916
548,0.554
549,0.445
550,0.187
551,0.771
552,0.561
553,0.399
554,0.699
555,0.849
556,0.497
557,0.08
558,0.709
559,0.68
560,0.801
561,0.877
562,0.605
563,0.222
564,0.445
565,0.623
566,0.3
567,0.029
568,0.444
569,0.872
570,0.347
571,0.753
572,0.481
573,0.078
574,0.659
575,0.075
576,0.461
577,0.806
578,0.377
579,0.917
580,0.513
581,0.746
582,0.874
583,0.84
584,0.888
585,0.761
586,0.887
587,0.662
588,0.501
589,0.246
590,0.667
591,0.034
592,0.86
593,0.027
594,0.6
595,0.848
596,0.373
597,0.803
598,0.058
599,0.275
600,0.038
601,0.111
602,0.438
603,0.536
604,0.053
605,0.66
606,0.832
607,0.123
608,0.828
609,0.459
610,0.041
611,0.739
612,0.418
613,0.244
614,0.376
615,0.741
616,0.739
617,0.074
618,0.894
619,0.965
620,0.158
621,0.798
622,0.609
623,0.44
624,0.165
625,0.322
626,0.91
627,0.835
628,0.749
629,0.624
630,0.251
631,0.759
632,0.903
633,0.252
634,0.483
635,0.067
636,0.715
637,0.826
638,0.315
639,0.317
640,0.383
641,0.531
642,0.13
643,0.837
644,0.153
645,0.745
646,0.146
647,0.231
648,0.374
649,0.095
650,0.21
651,0.494
652,0.742
653,0.219
654,0.314
655,0.74
656,0.702
657,0.036
658,0.842
659,0.369
660,0.78
661,0.666
662,0.435
663,0.022
664,0.0
665,0.805
666,0.154
667,0.626
668,0.152
669,0.345
670,0.842
671,0.787
672,0.116
673,0.14
674,0.93
675,0.13
676,0.818
677,0.157
678,0.357
679,0.134
680,0.417
681,0.725
682,0.218
683,0.883
684,0.323
685,0.065
686,0.747
687,0.671
688,0.474
689,0.895
690,0.923
691,0.292
692,0.808
693,0.301
694,0.405
695,0.456
696,0.061
697,0.068
698,0.379
699,0.851
700,0.584
701,0.225
702,0.684
703,0.931
704,0.678
705,0.736
706,0.117
707,0.133
708,0.7
709,0.849
710,0.035
711,0.77
712,0.655
713,0.118
714,0.787
715,0.569
716,0.391
717,0.712
718,0.11
719,0.23
720,0.254
721,0.516
722,0.299
723,0.778
724,0.724
725,0.576
726,0.308
727,0.794
728,0.811
729,0.748
730,0.779
731,0.326
732,0.173
733,0.472
734,0.708
735,0.037
736,0.517
737,0.076
738,0.688
739,0.387
740,0.097
741,0.692
742,0.766
743,0.263
744,0.301
745,0.819
746,0.731
747,0.351
748,0.448
749,0.643
750,0.392
751,0.122
752,0.793
753,0.51
754,0.427
755,0.205
756,0.295
757,0.195
758,0.239
759,0.82
760,0.307
761,0.746
762,0.728
763,0.328
764,0.79
765,0.145
766,0.829
767,0.751
768,0.785
769,0.206
770,0.054
771,0.028
772,0.685
773,0.83
774,0.308
775,0.929
776,0.714
777,0.777
778,0.356
779,0.328
780,0.092
781,0.285
782,0.992
783,0.827
784,0.368
785,0.657
786,0.422
787,0.828
788,0.489
789,0.204
790,0.889
791,0.124
792,0.454
793,0.657
794,0.147
795,0.57
796,0.535
797,0.102
798,0.537
799,0.179
800,0.776
801,0.518
802,0.986
803,0.788
804,0.723
805,0.786
806,0.834
807,0.079
808,0.467
809,0.684
810,0.407
811,0.156
812,0.401
813,0.189
814,0.711
815,0.732
816,0.765
817,0.341
818,0.211
819,0.318
820,0.682
821,0.272
822,0.268
823,0.514
824,0.052
825,0.683
826,0.493
827,0.371
828,0.767
829,0.698
830,0.701
831,0.39
832,0.42
833,0.681
834,0.698
835,0.755
836,0.355
837,0.486
838,0.475
839,0.533
840,0.199
841,0.2
842,0.75
843,0.15
844,0.45
845,0.362
846,0.541
847,0.783
848,0.175
849,0.446
850,0.349
851,0.693
852,0.719
853,0.738
854,0.266
855,0.183
856,0.722
857,0.221
858,0.519
859,0.267
860,0.539
861,0.227
862,0.214
863,0.71
864,0.142
865,0.696
866,0.686
867,0.595
868,0.224
869,0.679
870,0.397
871,0.645
872,0.677
873,0.656
874,0.566
875,0.527
876,0.617
877,0.615
878,0.223
879,0.763
880,0.704
881,0.287
882,0.096
883,0.799
884,0.438
885,0.283
886,0.116
887,0.243
888,0.294
889,0.557
890,0.259
891,0.695
892,0.508
893,0.247
894,0.151
895,0.424
896,0.587
897,0.621
898,0.234
899,0.431
900,0.678
901,0.603
902,0.784
903,0.171
904,0.479
905,0.155
906,0.743
907,0.735
908,0.176
909,0.703
910,0.398
911,0.009
912,0.237
913,0.706
914,0.465
915,0.52
916,0.769
917,0.689
918,0.061
919,0.099
920,0.707
921,0.281
922,0.212
923,0.482
924,0.658
925,0.654
926,0.381
927,0.136
928,0.582
929,0.496
930,0.511
931,0.773
932,0.194
933,0.335
934,0.261
935,0.833
936,0.304
937,0.343
938,0.232
939,0.181
940,0.192
941,0.256
942,0.28
943,0.282
944,0.269
945,0.279
946,0.19
947,0.213
948,0.238
949,0.298
950,0.338
951,0.31
952,0.217
953,0.253
954,0.339
955,0.353
956,0.312
957,0.303
958,0.126
959,0.109
960,0.208
961,0.248
962,0.226
963,0.241
964,0.342
965,0.316
966,0.305
967,0.094
968,0.32
969,0.186
970,0.274
971,0.364
972,0.302
973,0.06
974,0.342
975,0.35
976,0.089
977,0.33
978,0.363
979,0.358
980,0.228
981,0.193
982,0.198
983,0.352
984,0.331
985,0.349
986,0.361
987,0.313
988,0.246
989,0.121
990,0.324
991,0.159
992,0.273
993,0.278
994,0.334
995,0.348
996,0.215
997,0.267
998,0.235
999,0.327
1000,0.101
1001,0.284
1002,0.346
1003,0.287
1004,0.329
1005,0.245
1006,0.293
1007,0.337
1008,0.543
1009,0.521
1010,0.495
1011,0.451
1012,0.642
1013,0.424
1014,0.452
1015,0.611
1016,0.524
1017,0.412
1018,0.428
1019,0.491
1020,0.394
1021,0.464
1022,0.522
1023,0.594
1024,0.402
1025,0.415
1026,0.432
1027,0.499
1028,0.478
1029,0.468
1030,0.492
1031,0.5
1032,0.466
1033,0.447
1034,0.586
1035,0.413
1036,0.547
1037,0.429
1038,0.552
1039,0.541
1040,0.527
1041,0.421
1042,0.599
1043,0.53
1044,0.59
1045,0.563
1046,0.458
1047,0.434
1048,0.41
1049,0.484
1050,0.453
1051,0.433
1052,0.452
1053,0.542
1054,0.47
1055,0.465
1056,0.411
1057,0.457
1058,0.404
1059,0.384
1060,0.385
1061,0.504
1062,0.386
1063,0.505
1064,0.63
1065,0.443
1066,0.471
1067,0.632
1068,0.528
1069,0.48
1070,0.493
1071,0.65
1072,0.417
1073,0.4
1074,0.488
1075,0.515
1076,0.652
1077,0.513
1078,0.636
1079,0.644
1080,0.56
1081,0.61
1082,0.636
1083,0.606
1084,0.58
1085,0.639
1086,0.591
1087,0.551
1088,0.609
1089,0.595
1090,0.65
1091,0.556
1092,0.633
1093,0.562
1094,0.598
1095,0.567
1096,0.572
1097,0.623
1098,0.545
1099,0.631
1100,0.607
1101,0.575
1102,0.638
1103,0.618
1104,0.578
1105,0.602
1106,0.649
1107,0.589
1108,0.596
1109,0.601
1110,0.571
1111,0.646
1112,0.616
1113,0.589
1114,0.558
1115,0.625
1116,0.577
1117,0.64
1118,0.637
1119,0.597
1120,0.559
1121,0.581
1122,0.653
1123,0.648
1124,0.555
1125,0.568
1126,0.627
1127,0.507
1128,0.554
1129,0.643
1130,0.579
1131,0.622
1132,0.63
1133,0.62
1134,0.608
1135,0.534
1136,0.592
1137,0.582
1138,0.575
1139,0.544
1140,0.532
1141,0.629
1142,0.561
1143,0.546
1144,0.547
1145,0.574
