well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
B07_55185977,ENSG00000132792,0.002669291,0.113653452,FALSE,0.724363401,FALSE,FALSE,TRUE,FALSE,CTNNBL1
B07_55195978,ENSG00000171492,0.001443892,0.098415639,FALSE,0.354857746,FALSE,FALSE,TRUE,FALSE,LRRC8D
B07_55205980,ENSG00000143452,0.009698608,0.737716012,TRUE,8.11E-17,TRUE,TRUE,FALSE,TRUE,HORMAD1
B07_55215982,ENSG00000169180,0.003500526,0.147741052,TRUE,0.223341935,FALSE,FALSE,TRUE,FALSE,XPO6
B07_55225983,ENSG00000124074,0.00033385,0.18976952,TRUE,0.107729874,FALSE,FALSE,TRUE,FALSE,ENKD1
B07_55235979,ENSG00000167183,0.00030871,0.049400381,FALSE,0.839086946,FALSE,FALSE,TRUE,FALSE,PRR15L
B07_55245981,ENSG00000116039,0.00020404,0.154590809,TRUE,0.084165791,FALSE,FALSE,TRUE,FALSE,ATP6V1B1
B07_55335984,ENSG00000119729,0.00030914,0.167652814,TRUE,0.049043453,TRUE,TRUE,FALSE,FALSE,RHOQ
B07_55345985,ENSG00000198919,0.000444626,0.174466672,TRUE,0.079862476,FALSE,FALSE,TRUE,FALSE,DZIP3
B07_55355986,ENSG00000114346,0.000412231,0.154187248,TRUE,0.008176303,TRUE,TRUE,FALSE,FALSE,ECT2
B07_55365987,ENSG00000171848,0.00091628,0.586948828,TRUE,6.03E-32,TRUE,TRUE,FALSE,TRUE,RRM2
B07_55385989,ENSG00000081479,3.02E-05,0.113504233,FALSE,0.087973854,FALSE,FALSE,TRUE,FALSE,LRP2
B07_55395990,ENSG00000145244,0.000342673,0.19086449,TRUE,0.004293559,TRUE,TRUE,FALSE,TRUE,CORIN
B07_55405991,ENSG00000137807,0.003858838,0.587068704,TRUE,7.36E-28,TRUE,TRUE,FALSE,TRUE,KIF23
B07_6720,ENSG00000099812,0.000139432,0.217051718,TRUE,0.003301268,TRUE,TRUE,FALSE,FALSE,MISP
B07_75846286,ENSG00000107581,2.91E-05,0.181976809,TRUE,0.032896456,TRUE,TRUE,FALSE,TRUE,EIF3A
B08_55185977,ENSG00000126947,0.000191743,0.12765991,FALSE,0.282733602,FALSE,FALSE,TRUE,FALSE,ARMCX1
B08_55195978,ENSG00000089022,5.60E-05,0.235808248,TRUE,0.000551437,TRUE,TRUE,FALSE,TRUE,MAPKAPK5
B08_55205980,ENSG00000105204,0.00304545,0.155586798,TRUE,0.011469197,TRUE,TRUE,FALSE,TRUE,DYRK1B
B08_55215982,ENSG00000137478,0.000215439,0.170911018,TRUE,0.086115262,FALSE,FALSE,TRUE,FALSE,FCHSD2
B08_55225983,ENSG00000090013,0.006153594,0.155795746,TRUE,0.659162777,FALSE,FALSE,TRUE,FALSE,BLVRB
B08_55335984,ENSG00000168538,0.001062052,0.174031659,TRUE,0.070051518,FALSE,FALSE,TRUE,TRUE,TRAPPC11
B08_55345985,ENSG00000099812,0.000652512,0.139874702,TRUE,0.037460232,TRUE,TRUE,FALSE,FALSE,MISP
B08_55355986,ENSG00000101082,4.04E-05,0.125053296,FALSE,0.004316616,TRUE,FALSE,TRUE,FALSE,SLA2
B08_55385989,ENSG00000013573,0.000761145,0.115284561,FALSE,0.026094077,TRUE,FALSE,TRUE,FALSE,DDX11
B08_55395990,ENSG00000136824,0.005659456,0.534727347,TRUE,1.18E-11,TRUE,TRUE,FALSE,TRUE,SMC2
B08_55405991,ENSG00000074047,0.000222447,0.145676041,TRUE,0.204600951,FALSE,FALSE,TRUE,FALSE,GLI2
B08_6736,ENSG00000100596,3.18E-06,0.237000295,TRUE,4.97E-06,TRUE,TRUE,FALSE,FALSE,SPTLC2
B09_55185977,ENSG00000159882,2.55E-05,0.119119134,FALSE,0.173280948,FALSE,FALSE,TRUE,FALSE,ZNF230
B09_55195978,ENSG00000186111,0.002401624,0.116117658,FALSE,0.022456944,TRUE,FALSE,TRUE,FALSE,PIP5K1C
B09_55205980,ENSG00000182247,0.000375448,0.101606118,FALSE,0.015880266,TRUE,FALSE,TRUE,TRUE,UBE2E2
B09_55215982,ENSG00000187479,0.002861008,0.171406505,TRUE,0.002883201,TRUE,TRUE,FALSE,FALSE,C11orf96
B09_55225983,ENSG00000174177,5.22E-05,0.020637353,FALSE,0.9860235,FALSE,FALSE,TRUE,FALSE,CTU2
B09_55235979,ENSG00000163348,0.001092857,0.126721351,FALSE,0.05709161,FALSE,FALSE,TRUE,FALSE,PYGO2
B09_55245981,ENSG00000169228,0.000184411,0.139753968,TRUE,0.258417071,FALSE,FALSE,TRUE,FALSE,RAB24
