Well,Plate,Variable,Main,WellPlate
B03,6717,FALSE,0,B03_6717
B02,6717,FALSE,0,B02_6717
B01,6717,FALSE,0,B01_6717
C12,6717,FALSE,0,C12_6717
C11,6717,FALSE,0,C11_6717
C09,6717,FALSE,0,C09_6717
C08,6717,FALSE,0,C08_6717
C07,6717,FALSE,0,C07_6717
C06,6717,FALSE,0,C06_6717
C05,6717,FALSE,0,C05_6717
C04,6717,FALSE,0,C04_6717
C03,6717,FALSE,0,C03_6717
C02,6717,FALSE,0,C02_6717
C01,6717,FALSE,0,C01_6717
D12,6717,FALSE,0,D12_6717
D11,6717,FALSE,0,D11_6717
D09,6717,FALSE,0,D09_6717
D08,6717,FALSE,0,D08_6717
D07,6717,FALSE,0,D07_6717
D05,6717,FALSE,0,D05_6717
D04,6717,FALSE,0,D04_6717
D03,6717,FALSE,0,D03_6717
D02,6717,FALSE,0,D02_6717
D01,6717,FALSE,0,D01_6717
E12,6717,FALSE,0,E12_6717
E11,6717,FALSE,0,E11_6717
E10,6717,FALSE,0,E10_6717
E09,6717,FALSE,0,E09_6717
E08,6717,FALSE,0,E08_6717
E07,6717,FALSE,0,E07_6717
E06,6717,FALSE,0,E06_6717
E05,6717,FALSE,0,E05_6717
E04,6717,FALSE,0,E04_6717
E03,6717,FALSE,0,E03_6717
E02,6717,FALSE,0,E02_6717
E01,6717,FALSE,0,E01_6717
F12,6717,FALSE,0,F12_6717
F11,6717,FALSE,0,F11_6717
F09,6717,FALSE,0,F09_6717
F08,6717,FALSE,0,F08_6717
F07,6717,FALSE,0,F07_6717
F06,6717,FALSE,0,F06_6717
F05,6717,FALSE,0,F05_6717
F04,6717,FALSE,0,F04_6717
F03,6717,FALSE,0,F03_6717
F02,6717,FALSE,0,F02_6717
F01,6717,FALSE,0,F01_6717
G12,6717,FALSE,0,G12_6717
G10,6717,FALSE,0,G10_6717
G09,6717,FALSE,0,G09_6717
G08,6717,FALSE,0,G08_6717
G06,6717,FALSE,0,G06_6717
G05,6717,FALSE,0,G05_6717
G04,6717,FALSE,0,G04_6717
G03,6717,FALSE,0,G03_6717
G02,6717,FALSE,0,G02_6717
G01,6717,FALSE,0,G01_6717
H12,6717,FALSE,0,H12_6717
H11,6717,FALSE,0,H11_6717
H09,6717,FALSE,0,H09_6717
H07,6717,FALSE,0,H07_6717
H06,6717,FALSE,0,H06_6717
H04,6717,FALSE,0,H04_6717
H03,6717,FALSE,0,H03_6717
H02,6717,FALSE,0,H02_6717
H01,6717,FALSE,0,H01_6717
A12,6718,FALSE,0,A12_6718
A11,6718,FALSE,0,A11_6718
A10,6718,FALSE,0,A10_6718
A09,6718,FALSE,0,A09_6718
A08,6718,FALSE,0,A08_6718
A07,6718,FALSE,0,A07_6718
A06,6718,FALSE,0,A06_6718
A04,6718,FALSE,0,A04_6718
A03,6718,FALSE,0,A03_6718
A02,6718,FALSE,0,A02_6718
A01,6718,FALSE,0,A01_6718
B12,6718,FALSE,0,B12_6718
B11,6718,FALSE,0,B11_6718
B10,6718,FALSE,0,B10_6718
B09,6718,FALSE,0,B09_6718
B08,6718,FALSE,0,B08_6718
B07,6718,FALSE,0,B07_6718
B06,6718,FALSE,0,B06_6718
B05,6718,FALSE,0,B05_6718
B04,6718,FALSE,0,B04_6718
B03,6718,FALSE,0,B03_6718
B02,6718,FALSE,0,B02_6718
B01,6718,FALSE,0,B01_6718
C12,6718,FALSE,0,C12_6718
C11,6718,FALSE,0,C11_6718
C10,6718,FALSE,0,C10_6718
C09,6718,FALSE,0,C09_6718
C08,6718,FALSE,0,C08_6718
C07,6718,FALSE,0,C07_6718
C06,6718,FALSE,0,C06_6718
C05,6718,FALSE,0,C05_6718
C04,6718,FALSE,0,C04_6718
C03,6718,FALSE,0,C03_6718
C02,6718,FALSE,0,C02_6718
D12,6718,FALSE,0,D12_6718
D11,6718,FALSE,0,D11_6718
D10,6718,FALSE,0,D10_6718
D09,6718,FALSE,0,D09_6718
D08,6718,FALSE,0,D08_6718
D07,6718,FALSE,0,D07_6718
D06,6718,FALSE,0,D06_6718
D05,6718,FALSE,0,D05_6718
D04,6718,FALSE,0,D04_6718
D03,6718,FALSE,0,D03_6718
D02,6718,FALSE,0,D02_6718
D01,6718,FALSE,0,D01_6718
E12,6718,FALSE,0,E12_6718
E11,6718,FALSE,0,E11_6718
E10,6718,FALSE,0,E10_6718
E09,6718,FALSE,0,E09_6718
E08,6718,FALSE,0,E08_6718
E07,6718,FALSE,0,E07_6718
E06,6718,FALSE,0,E06_6718
E05,6718,FALSE,0,E05_6718
E04,6718,FALSE,0,E04_6718
E03,6718,FALSE,0,E03_6718
E02,6718,FALSE,0,E02_6718
E01,6718,FALSE,0,E01_6718
F12,6718,FALSE,0,F12_6718
F11,6718,FALSE,0,F11_6718
F10,6718,FALSE,0,F10_6718
F09,6718,FALSE,0,F09_6718
F08,6718,FALSE,0,F08_6718
F07,6718,FALSE,0,F07_6718
F06,6718,FALSE,0,F06_6718
F05,6718,FALSE,0,F05_6718
F04,6718,FALSE,0,F04_6718
F03,6718,FALSE,0,F03_6718
F02,6718,FALSE,0,F02_6718
F01,6718,FALSE,0,F01_6718
G12,6718,FALSE,0,G12_6718
G11,6718,FALSE,0,G11_6718
G10,6718,FALSE,0,G10_6718
G09,6718,FALSE,0,G09_6718
G07,6718,FALSE,0,G07_6718
G06,6718,FALSE,0,G06_6718
G05,6718,FALSE,0,G05_6718
G04,6718,FALSE,0,G04_6718
G03,6718,FALSE,0,G03_6718
G02,6718,FALSE,0,G02_6718
G01,6718,FALSE,0,G01_6718
H12,6718,FALSE,0,H12_6718
H11,6718,FALSE,0,H11_6718
H10,6718,FALSE,0,H10_6718
H09,6718,FALSE,0,H09_6718
H08,6718,FALSE,0,H08_6718
H06,6718,FALSE,0,H06_6718
H05,6718,FALSE,0,H05_6718
H04,6718,FALSE,0,H04_6718
H03,6718,FALSE,0,H03_6718
H01,6718,FALSE,0,H01_6718
A12,6719,FALSE,0,A12_6719
A11,6719,FALSE,0,A11_6719
A10,6719,FALSE,0,A10_6719
A09,6719,FALSE,0,A09_6719
A08,6719,FALSE,0,A08_6719
A07,6719,FALSE,0,A07_6719
A06,6719,FALSE,0,A06_6719
A05,6719,FALSE,0,A05_6719
A04,6719,FALSE,0,A04_6719
A03,6719,FALSE,0,A03_6719
A02,6719,FALSE,0,A02_6719
B12,6719,FALSE,0,B12_6719
B11,6719,FALSE,0,B11_6719
B10,6719,FALSE,0,B10_6719
B09,6719,FALSE,0,B09_6719
B08,6719,FALSE,0,B08_6719
B07,6719,FALSE,0,B07_6719
B06,6719,FALSE,0,B06_6719
B05,6719,FALSE,0,B05_6719
B04,6719,FALSE,0,B04_6719
B03,6719,FALSE,0,B03_6719
B02,6719,FALSE,0,B02_6719
B01,6719,FALSE,0,B01_6719
C12,6719,FALSE,0,C12_6719
C11,6719,FALSE,0,C11_6719
C10,6719,FALSE,0,C10_6719
C09,6719,FALSE,0,C09_6719
C08,6719,FALSE,0,C08_6719
C07,6719,FALSE,0,C07_6719
C06,6719,FALSE,0,C06_6719
C04,6719,FALSE,0,C04_6719
C03,6719,FALSE,0,C03_6719
C02,6719,FALSE,0,C02_6719
C01,6719,FALSE,0,C01_6719
D12,6719,FALSE,0,D12_6719
D11,6719,FALSE,0,D11_6719
D10,6719,FALSE,0,D10_6719
D09,6719,FALSE,0,D09_6719
D08,6719,FALSE,0,D08_6719
D07,6719,FALSE,0,D07_6719
D06,6719,FALSE,0,D06_6719
D05,6719,FALSE,0,D05_6719
D04,6719,FALSE,0,D04_6719
D03,6719,FALSE,0,D03_6719
D02,6719,FALSE,0,D02_6719
D01,6719,FALSE,0,D01_6719
E12,6719,FALSE,0,E12_6719
E11,6719,FALSE,0,E11_6719
E10,6719,FALSE,0,E10_6719
E09,6719,FALSE,0,E09_6719
E08,6719,FALSE,0,E08_6719
E07,6719,FALSE,0,E07_6719
E06,6719,FALSE,0,E06_6719
E05,6719,FALSE,0,E05_6719
E04,6719,FALSE,0,E04_6719
E03,6719,FALSE,0,E03_6719
E02,6719,FALSE,0,E02_6719
E01,6719,FALSE,0,E01_6719
F12,6719,FALSE,0,F12_6719
F11,6719,FALSE,0,F11_6719
F10,6719,FALSE,0,F10_6719
F09,6719,FALSE,0,F09_6719
F08,6719,FALSE,0,F08_6719
F07,6719,FALSE,0,F07_6719
F06,6719,FALSE,0,F06_6719
F05,6719,FALSE,0,F05_6719
F04,6719,FALSE,0,F04_6719
F03,6719,FALSE,0,F03_6719
F01,6719,FALSE,0,F01_6719
G12,6719,FALSE,0,G12_6719
G11,6719,FALSE,0,G11_6719
G10,6719,FALSE,0,G10_6719
G09,6719,FALSE,0,G09_6719
G08,6719,FALSE,0,G08_6719
G07,6719,FALSE,0,G07_6719
G06,6719,FALSE,0,G06_6719
G05,6719,FALSE,0,G05_6719
G04,6719,FALSE,0,G04_6719
G03,6719,FALSE,0,G03_6719
G02,6719,FALSE,0,G02_6719
H12,6719,FALSE,0,H12_6719
H11,6719,FALSE,0,H11_6719
H10,6719,FALSE,0,H10_6719
H09,6719,FALSE,0,H09_6719
H08,6719,FALSE,0,H08_6719
H07,6719,FALSE,0,H07_6719
H05,6719,FALSE,0,H05_6719
H04,6719,FALSE,0,H04_6719
H03,6719,FALSE,0,H03_6719
H02,6719,FALSE,0,H02_6719
H01,6719,FALSE,0,H01_6719
A12,6720,FALSE,0,A12_6720
A11,6720,FALSE,0,A11_6720
A10,6720,FALSE,0,A10_6720
A09,6720,FALSE,0,A09_6720
A07,6720,FALSE,0,A07_6720
A06,6720,FALSE,0,A06_6720
A05,6720,FALSE,0,A05_6720
A04,6720,FALSE,0,A04_6720
A03,6720,FALSE,0,A03_6720
A02,6720,FALSE,0,A02_6720
A01,6720,FALSE,0,A01_6720
B12,6720,FALSE,0,B12_6720
B11,6720,FALSE,0,B11_6720
B10,6720,FALSE,0,B10_6720
B08,6720,FALSE,0,B08_6720
B06,6720,FALSE,0,B06_6720
B05,6720,FALSE,0,B05_6720
B04,6720,FALSE,0,B04_6720
B03,6720,FALSE,0,B03_6720
B01,6720,FALSE,0,B01_6720
C12,6720,FALSE,0,C12_6720
C11,6720,FALSE,0,C11_6720
C09,6720,FALSE,0,C09_6720
C08,6720,FALSE,0,C08_6720
C07,6720,FALSE,0,C07_6720
C06,6720,FALSE,0,C06_6720
C04,6720,FALSE,0,C04_6720
D12,6720,FALSE,0,D12_6720
D11,6720,FALSE,0,D11_6720
D10,6720,FALSE,0,D10_6720
D08,6720,FALSE,0,D08_6720
D05,6720,FALSE,0,D05_6720
D04,6720,FALSE,0,D04_6720
D03,6720,FALSE,0,D03_6720
D01,6720,FALSE,0,D01_6720
E12,6720,FALSE,0,E12_6720
E11,6720,FALSE,0,E11_6720
E10,6720,FALSE,0,E10_6720
E09,6720,FALSE,0,E09_6720
E07,6720,FALSE,0,E07_6720
E06,6720,FALSE,0,E06_6720
E04,6720,FALSE,0,E04_6720
E01,6720,FALSE,0,E01_6720
F12,6720,FALSE,0,F12_6720
F11,6720,FALSE,0,F11_6720
F10,6720,FALSE,0,F10_6720
F09,6720,FALSE,0,F09_6720
F07,6720,FALSE,0,F07_6720
F06,6720,FALSE,0,F06_6720
F05,6720,FALSE,0,F05_6720
F04,6720,FALSE,0,F04_6720
F03,6720,FALSE,0,F03_6720
F02,6720,FALSE,0,F02_6720
G12,6720,FALSE,0,G12_6720
G11,6720,FALSE,0,G11_6720
G10,6720,FALSE,0,G10_6720
G09,6720,FALSE,0,G09_6720
G08,6720,FALSE,0,G08_6720
G06,6720,FALSE,0,G06_6720
G05,6720,FALSE,0,G05_6720
G04,6720,FALSE,0,G04_6720
G03,6720,FALSE,0,G03_6720
G01,6720,FALSE,0,G01_6720
H12,6720,FALSE,0,H12_6720
H11,6720,FALSE,0,H11_6720
H10,6720,FALSE,0,H10_6720
H09,6720,FALSE,0,H09_6720
H07,6720,FALSE,0,H07_6720
H06,6720,FALSE,0,H06_6720
H04,6720,FALSE,0,H04_6720
H03,6720,FALSE,0,H03_6720
H01,6720,FALSE,0,H01_6720
A12,6721,FALSE,0,A12_6721
A11,6721,FALSE,0,A11_6721
A10,6721,FALSE,0,A10_6721
A09,6721,FALSE,0,A09_6721
A08,6721,FALSE,0,A08_6721
A07,6721,FALSE,0,A07_6721
A06,6721,FALSE,0,A06_6721
A05,6721,FALSE,0,A05_6721
A04,6721,FALSE,0,A04_6721
A03,6721,FALSE,0,A03_6721
A02,6721,FALSE,0,A02_6721
A01,6721,FALSE,0,A01_6721
B12,6721,FALSE,0,B12_6721
B10,6721,FALSE,0,B10_6721
B09,6721,FALSE,0,B09_6721
B08,6721,FALSE,0,B08_6721
B07,6721,FALSE,0,B07_6721
B06,6721,FALSE,0,B06_6721
B05,6721,FALSE,0,B05_6721
B04,6721,FALSE,0,B04_6721
B03,6721,FALSE,0,B03_6721
B02,6721,FALSE,0,B02_6721
B01,6721,FALSE,0,B01_6721
C12,6721,FALSE,0,C12_6721
C11,6721,FALSE,0,C11_6721
C10,6721,FALSE,0,C10_6721
C09,6721,FALSE,0,C09_6721
C08,6721,FALSE,0,C08_6721
C07,6721,FALSE,0,C07_6721
C06,6721,FALSE,0,C06_6721
C05,6721,FALSE,0,C05_6721
C04,6721,FALSE,0,C04_6721
C03,6721,FALSE,0,C03_6721
