Well_Plate,Stage,StageAJC
F21_355,G2M,G2M
F23_355,G2M,G2M
G2_355,G2M,G2M
G3_355,G2M,G2M
G6_355,G2M,G2M
G8_355,G2M,G2M
G9_355,G2M,G2M
G10_355,G2M,G2M
G11_355,G2M,G2M
G14_355,G2M,G2M
G18_355,G2M,G2M
G23_355,G2M,G2M
H3_355,G2M,G2M
H10_355,G2M,G2M
H12_355,G2M,G2M
H16_355,G2M,G2M
H18_355,G2M,G2M
H20_355,G2M,G2M
I1_355,G2M,G2M
I3_355,G2M,G2M
I6_355,G2M,G2M
I11_355,G2M,G2M
I12_355,G2M,G2M
I13_355,G2M,G2M
I17_355,G2M,G2M
I22_355,G2M,G2M
I23_355,G2M,G2M
I24_355,G2M,G2M
J3_355,G2M,G2M
J5_355,G2M,G2M
J6_355,G2M,G2M
J7_355,G2M,G2M
J8_355,G2M,G2M
J9_355,G2M,G2M
J14_355,G2M,G2M
J20_355,G2M,G2M
J23_355,G2M,G2M
K2_355,G2M,G2M
K5_355,G2M,G2M
K7_355,G2M,G2M
K11_355,G2M,G2M
K13_355,G2M,G2M
K17_355,G2M,G2M
K22_355,G2M,G2M
K23_355,G2M,G2M
L6_355,G2M,G2M
L14_355,G2M,G2M
L18_355,G2M,G2M
L21_355,G2M,G2M
L23_355,G2M,G2M
M15_355,G2M,G2M
M19_355,G2M,G2M
M23_355,G2M,G2M
M24_355,G2M,G2M
A8_356,G2M,G2M
A10_356,G2M,G2M
A12_356,G2M,G2M
B2_356,G2M,G2M
B15_356,G2M,G2M
B21_356,G2M,G2M
C5_356,G2M,G2M
C7_356,G2M,G2M
C11_356,G2M,G2M
C22_356,G2M,G2M
C23_356,G2M,G2M
D1_356,G2M,G2M
D4_356,G2M,G2M
D6_356,G2M,G2M
D8_356,G2M,G2M
D13_356,G2M,G2M
D16_356,G2M,G2M
D22_356,G2M,G2M
E21_356,G2M,G2M
F9_356,G2M,G2M
F23_356,G2M,G2M
G2_356,G2M,G2M
G6_356,G2M,G2M
G10_356,G2M,G2M
H12_356,G2M,G2M
H16_356,G2M,G2M
H20_356,G2M,G2M
I3_356,G2M,G2M
I6_356,G2M,G2M
I12_356,G2M,G2M
I13_356,G2M,G2M
I22_356,G2M,G2M
I23_356,G2M,G2M
J6_356,G2M,G2M
K11_356,G2M,G2M
K13_356,G2M,G2M
K17_356,G2M,G2M
L6_356,G2M,G2M
L14_356,G2M,G2M
L21_356,G2M,G2M
L23_356,G2M,G2M
M15_356,G2M,G2M
M23_356,G2M,G2M
A6_357,G2M,G2M
A8_357,G2M,G2M
A10_357,G2M,G2M
A13_357,G2M,G2M
A19_357,G2M,G2M
A23_357,G2M,G2M
B1_357,G2M,G2M
B2_357,G2M,G2M
B11_357,G2M,G2M
B21_357,G2M,G2M
C4_357,G2M,G2M
C5_357,G2M,G2M
C7_357,G2M,G2M
C14_357,G2M,G2M
C22_357,G2M,G2M
C23_357,G2M,G2M
D4_357,G2M,G2M
D13_357,G2M,G2M
E15_357,G2M,G2M
E18_357,G2M,G2M
E22_357,G2M,G2M
F4_357,G2M,G2M
F9_357,G2M,G2M
F15_357,G2M,G2M
F21_357,G2M,G2M
F23_357,G2M,G2M
G3_357,G2M,G2M
G8_357,G2M,G2M
G10_357,G2M,G2M
G11_357,G2M,G2M
G23_357,G2M,G2M
H12_357,G2M,G2M
I1_357,G2M,G2M
I11_357,G2M,G2M
I12_357,G2M,G2M
J20_357,G2M,G2M
J23_357,G2M,G2M
K22_357,G2M,G2M
K23_357,G2M,G2M
L14_357,G2M,G2M
L21_357,G2M,G2M
M21_357,G2M,G2M
L20_355,G2M,S-ph
M21_355,G2M,S-ph
P1_355,G2M,S-ph
P2_355,G2M,S-ph
P3_355,G2M,S-ph
P4_355,G2M,S-ph
P5_355,G2M,S-ph
P6_355,G2M,S-ph
P7_355,G2M,S-ph
P8_355,G2M,S-ph
P9_355,G2M,S-ph
P10_355,G2M,S-ph
P11_355,G2M,S-ph
P12_355,G2M,S-ph
P13_355,G2M,S-ph
P14_355,G2M,S-ph
P15_355,G2M,S-ph
P16_355,G2M,S-ph
P17_355,G2M,S-ph
P18_355,G2M,S-ph
P19_355,G2M,S-ph
P20_355,G2M,S-ph
P21_355,G2M,S-ph
P22_355,G2M,S-ph
A3_356,G2M,S-ph
A6_356,G2M,S-ph
A14_356,G2M,S-ph
A19_356,G2M,S-ph
A23_356,G2M,S-ph
B3_356,G2M,S-ph
B4_356,G2M,S-ph
B10_356,G2M,S-ph
C14_356,G2M,S-ph
C18_356,G2M,S-ph
C19_356,G2M,S-ph
E15_356,G2M,S-ph
E18_356,G2M,S-ph
F6_356,G2M,S-ph
F10_356,G2M,S-ph
F12_356,G2M,S-ph
F17_356,G2M,S-ph
F21_356,G2M,S-ph
G8_356,G2M,S-ph
G11_356,G2M,S-ph
H3_356,G2M,S-ph
I11_356,G2M,S-ph
I24_356,G2M,S-ph
J3_356,G2M,S-ph
J7_356,G2M,S-ph
J8_356,G2M,S-ph
J14_356,G2M,S-ph
K7_356,G2M,S-ph
L20_356,G2M,S-ph
M19_356,G2M,S-ph
M21_356,G2M,S-ph
M24_356,G2M,S-ph
P1_356,G2M,S-ph
P2_356,G2M,S-ph
P3_356,G2M,S-ph
P4_356,G2M,S-ph
P5_356,G2M,S-ph
P6_356,G2M,S-ph
P7_356,G2M,S-ph
P8_356,G2M,S-ph
P9_356,G2M,S-ph
P10_356,G2M,S-ph
P11_356,G2M,S-ph
P12_356,G2M,S-ph
P13_356,G2M,S-ph
P14_356,G2M,S-ph
P15_356,G2M,S-ph
P16_356,G2M,S-ph
P17_356,G2M,S-ph
P18_356,G2M,S-ph
P19_356,G2M,S-ph
P20_356,G2M,S-ph
P21_356,G2M,S-ph
P22_356,G2M,S-ph
B4_357,G2M,S-ph
C10_357,G2M,S-ph
C11_357,G2M,S-ph
C18_357,G2M,S-ph
C19_357,G2M,S-ph
D6_357,G2M,S-ph
D8_357,G2M,S-ph
D22_357,G2M,S-ph
F6_357,G2M,S-ph
F7_357,G2M,S-ph
F19_357,G2M,S-ph
G6_357,G2M,S-ph
H16_357,G2M,S-ph
H20_357,G2M,S-ph
I3_357,G2M,S-ph
I13_357,G2M,S-ph
I24_357,G2M,S-ph
J8_357,G2M,S-ph
J14_357,G2M,S-ph
K7_357,G2M,S-ph
K11_357,G2M,S-ph
L20_357,G2M,S-ph
P1_357,G2M,S-ph
P2_357,G2M,S-ph
P3_357,G2M,S-ph
P4_357,G2M,S-ph
P5_357,G2M,S-ph
P6_357,G2M,S-ph
P7_357,G2M,S-ph
P8_357,G2M,S-ph
P9_357,G2M,S-ph
P10_357,G2M,S-ph
P11_357,G2M,S-ph
P12_357,G2M,S-ph
P13_357,G2M,S-ph
P14_357,G2M,S-ph
P15_357,G2M,S-ph
P16_357,G2M,S-ph
P17_357,G2M,S-ph
P18_357,G2M,S-ph
P19_357,G2M,S-ph
P20_357,G2M,S-ph
P21_357,G2M,S-ph
P22_357,G2M,S-ph
A17_355,S-ph,G1
B14_355,S-ph,G1
D17_355,S-ph,G1
G5_355,S-ph,G1
H15_355,S-ph,G1
J17_355,S-ph,G1
A1_356,S-ph,G1
A18_356,S-ph,G1
B20_356,S-ph,G1
C6_356,S-ph,G1
C9_356,S-ph,G1
C17_356,S-ph,G1
C21_356,S-ph,G1
E11_356,S-ph,G1
F3_356,S-ph,G1
F5_356,S-ph,G1
F13_356,S-ph,G1
G17_356,S-ph,G1
G21_356,S-ph,G1
H13_356,S-ph,G1
H15_356,S-ph,G1
H24_356,S-ph,G1
I14_356,S-ph,G1
I19_356,S-ph,G1
I20_356,S-ph,G1
I21_356,S-ph,G1
J10_356,S-ph,G1
K1_356,S-ph,G1
L5_356,S-ph,G1
L8_356,S-ph,G1
L12_356,S-ph,G1
L16_356,S-ph,G1
M11_356,S-ph,G1
M20_356,S-ph,G1
A16_357,S-ph,G1
A18_357,S-ph,G1
B5_357,S-ph,G1
B6_357,S-ph,G1
B20_357,S-ph,G1
C3_357,S-ph,G1
C21_357,S-ph,G1
D7_357,S-ph,G1
D10_357,S-ph,G1
D20_357,S-ph,G1
E16_357,S-ph,G1
F5_357,S-ph,G1
F13_357,S-ph,G1
F18_357,S-ph,G1
G17_357,S-ph,G1
G21_357,S-ph,G1
H6_357,S-ph,G1
J10_357,S-ph,G1
J11_357,S-ph,G1
K20_357,S-ph,G1
L4_357,S-ph,G1
L10_357,S-ph,G1
L11_357,S-ph,G1
M8_357,S-ph,G1
M14_357,S-ph,G1
B5_355,S-ph,G2M
B6_355,S-ph,G2M
C9_355,S-ph,G2M
C17_355,S-ph,G2M
C21_355,S-ph,G2M
E9_355,S-ph,G2M
F13_355,S-ph,G2M
A15_356,S-ph,G2M
A16_356,S-ph,G2M
A17_356,S-ph,G2M
B5_356,S-ph,G2M
B6_356,S-ph,G2M
D7_356,S-ph,G2M
D17_356,S-ph,G2M
E7_356,S-ph,G2M
E9_356,S-ph,G2M
E16_356,S-ph,G2M
E20_356,S-ph,G2M
F8_356,S-ph,G2M
F18_356,S-ph,G2M
G15_356,S-ph,G2M
H8_356,S-ph,G2M
I10_356,S-ph,G2M
I16_356,S-ph,G2M
J4_356,S-ph,G2M
J11_356,S-ph,G2M
J17_356,S-ph,G2M
K8_356,S-ph,G2M
L4_356,S-ph,G2M
L13_356,S-ph,G2M
M3_356,S-ph,G2M
M8_356,S-ph,G2M
A17_357,S-ph,G2M
B7_357,S-ph,G2M
B14_357,S-ph,G2M
B24_357,S-ph,G2M
C2_357,S-ph,G2M
C15_357,S-ph,G2M
C17_357,S-ph,G2M
D17_357,S-ph,G2M
E19_357,S-ph,G2M
E20_357,S-ph,G2M
F3_357,S-ph,G2M
G1_357,S-ph,G2M
G5_357,S-ph,G2M
G15_357,S-ph,G2M
H2_357,S-ph,G2M
H4_357,S-ph,G2M
H13_357,S-ph,G2M
H14_357,S-ph,G2M
H24_357,S-ph,G2M
I20_357,S-ph,G2M
J17_357,S-ph,G2M
J22_357,S-ph,G2M
K1_357,S-ph,G2M
L5_357,S-ph,G2M
L12_357,S-ph,G2M
L13_357,S-ph,G2M
M3_357,S-ph,G2M
B7_356,S-ph,N/A
A1_355,S-ph,S-ph
A15_355,S-ph,S-ph
A16_355,S-ph,S-ph
A18_355,S-ph,S-ph
B7_355,S-ph,S-ph
B18_355,S-ph,S-ph
B20_355,S-ph,S-ph
B24_355,S-ph,S-ph
C2_355,S-ph,S-ph
C3_355,S-ph,S-ph
C6_355,S-ph,S-ph
C15_355,S-ph,S-ph
D7_355,S-ph,S-ph
D10_355,S-ph,S-ph
D20_355,S-ph,S-ph
E7_355,S-ph,S-ph
E11_355,S-ph,S-ph
E16_355,S-ph,S-ph
E19_355,S-ph,S-ph
E20_355,S-ph,S-ph
F3_355,S-ph,S-ph
F5_355,S-ph,S-ph
F8_355,S-ph,S-ph
F18_355,S-ph,S-ph
G1_355,S-ph,S-ph
G15_355,S-ph,S-ph
G17_355,S-ph,S-ph
G21_355,S-ph,S-ph
H1_355,S-ph,S-ph
H2_355,S-ph,S-ph
H4_355,S-ph,S-ph
H6_355,S-ph,S-ph
H8_355,S-ph,S-ph
H13_355,S-ph,S-ph
H14_355,S-ph,S-ph
H24_355,S-ph,S-ph
I10_355,S-ph,S-ph
I14_355,S-ph,S-ph
I16_355,S-ph,S-ph
I19_355,S-ph,S-ph
I20_355,S-ph,S-ph
I21_355,S-ph,S-ph
J4_355,S-ph,S-ph
J10_355,S-ph,S-ph
J11_355,S-ph,S-ph
J22_355,S-ph,S-ph
K1_355,S-ph,S-ph
K8_355,S-ph,S-ph
K20_355,S-ph,S-ph
L4_355,S-ph,S-ph
L5_355,S-ph,S-ph
L8_355,S-ph,S-ph
L10_355,S-ph,S-ph
L11_355,S-ph,S-ph
L12_355,S-ph,S-ph
L13_355,S-ph,S-ph
L16_355,S-ph,S-ph
L22_355,S-ph,S-ph
L24_355,S-ph,S-ph
M3_355,S-ph,S-ph
M6_355,S-ph,S-ph
M8_355,S-ph,S-ph
M11_355,S-ph,S-ph
M12_355,S-ph,S-ph
M13_355,S-ph,S-ph
M14_355,S-ph,S-ph
M20_355,S-ph,S-ph
O1_355,S-ph,S-ph
O2_355,S-ph,S-ph
O3_355,S-ph,S-ph
O4_355,S-ph,S-ph
O5_355,S-ph,S-ph
O6_355,S-ph,S-ph
O7_355,S-ph,S-ph
O8_355,S-ph,S-ph
O9_355,S-ph,S-ph
O10_355,S-ph,S-ph
O11_355,S-ph,S-ph
O12_355,S-ph,S-ph
O13_355,S-ph,S-ph
O14_355,S-ph,S-ph
O15_355,S-ph,S-ph
O16_355,S-ph,S-ph
O17_355,S-ph,S-ph
O18_355,S-ph,S-ph
O19_355,S-ph,S-ph
O20_355,S-ph,S-ph
O21_355,S-ph,S-ph
O22_355,S-ph,S-ph
O23_355,S-ph,S-ph
O24_355,S-ph,S-ph
B14_356,S-ph,S-ph
B18_356,S-ph,S-ph
B24_356,S-ph,S-ph
C2_356,S-ph,S-ph
C3_356,S-ph,S-ph
C15_356,S-ph,S-ph
D10_356,S-ph,S-ph
D20_356,S-ph,S-ph
E19_356,S-ph,S-ph
G1_356,S-ph,S-ph
G5_356,S-ph,S-ph
H1_356,S-ph,S-ph
H2_356,S-ph,S-ph
H4_356,S-ph,S-ph
H6_356,S-ph,S-ph
H14_356,S-ph,S-ph
J22_356,S-ph,S-ph
K20_356,S-ph,S-ph
L10_356,S-ph,S-ph
L11_356,S-ph,S-ph
L22_356,S-ph,S-ph
L24_356,S-ph,S-ph
M6_356,S-ph,S-ph
M12_356,S-ph,S-ph
M13_356,S-ph,S-ph
M14_356,S-ph,S-ph
O1_356,S-ph,S-ph
O2_356,S-ph,S-ph
O3_356,S-ph,S-ph
O4_356,S-ph,S-ph
O5_356,S-ph,S-ph
O6_356,S-ph,S-ph
O7_356,S-ph,S-ph
O8_356,S-ph,S-ph
O9_356,S-ph,S-ph
O10_356,S-ph,S-ph
O11_356,S-ph,S-ph
O12_356,S-ph,S-ph
O13_356,S-ph,S-ph
O14_356,S-ph,S-ph
O15_356,S-ph,S-ph
O16_356,S-ph,S-ph
O17_356,S-ph,S-ph
O18_356,S-ph,S-ph
O19_356,S-ph,S-ph
O20_356,S-ph,S-ph
O21_356,S-ph,S-ph
O22_356,S-ph,S-ph
O23_356,S-ph,S-ph
O24_356,S-ph,S-ph
A1_357,S-ph,S-ph
A15_357,S-ph,S-ph
B18_357,S-ph,S-ph
C6_357,S-ph,S-ph
C9_357,S-ph,S-ph
E7_357,S-ph,S-ph
E9_357,S-ph,S-ph
E11_357,S-ph,S-ph
F8_357,S-ph,S-ph
H1_357,S-ph,S-ph
H8_357,S-ph,S-ph
H15_357,S-ph,S-ph
I10_357,S-ph,S-ph
I14_357,S-ph,S-ph
I16_357,S-ph,S-ph
I19_357,S-ph,S-ph
I21_357,S-ph,S-ph
J4_357,S-ph,S-ph
K8_357,S-ph,S-ph
L8_357,S-ph,S-ph
L16_357,S-ph,S-ph
L22_357,S-ph,S-ph
L24_357,S-ph,S-ph
M6_357,S-ph,S-ph
M11_357,S-ph,S-ph
M12_357,S-ph,S-ph
M13_357,S-ph,S-ph
M20_357,S-ph,S-ph
O1_357,S-ph,S-ph
O2_357,S-ph,S-ph
O3_357,S-ph,S-ph
O4_357,S-ph,S-ph
O5_357,S-ph,S-ph
O6_357,S-ph,S-ph
O7_357,S-ph,S-ph
O8_357,S-ph,S-ph
O9_357,S-ph,S-ph
O10_357,S-ph,S-ph
O11_357,S-ph,S-ph
O12_357,S-ph,S-ph
O13_357,S-ph,S-ph
O14_357,S-ph,S-ph
O15_357,S-ph,S-ph
O16_357,S-ph,S-ph
O17_357,S-ph,S-ph
O18_357,S-ph,S-ph
O19_357,S-ph,S-ph
O20_357,S-ph,S-ph
O21_357,S-ph,S-ph
O22_357,S-ph,S-ph
O23_357,S-ph,S-ph
O24_357,S-ph,S-ph
A2_355,,G1
A11_355,,G1
A24_355,,G1
B12_355,,G1
