Protein ID	Melting point [°C]	Protein stability class	Quantile-normalized melting point [°C]	AUC	Curve fit converged	R2 of curve fit
(XM_371598) HYPOTHETICAL PROTEIN XP_371598.	51.25	medium	51.16	0.51	TRUE	0.99
21 KDA PROTEIN.	52.79	medium	53.23	0.59	TRUE	1
37500	51.82	medium	51.92	0.62	TRUE	0.95
38961	52.4	stable	52.65	0.69	TRUE	0.86
39326	51.92	medium	52.01	0.52	TRUE	1
39692	51.95	medium	52.06	0.54	TRUE	0.97
40057	50.21	medium	49.96	0.47	TRUE	0.99
40422	51.3	medium	51.23	0.49	TRUE	1
40787		non-melter		0.74	TRUE	0.64
42 KDA PROTEIN.	53	medium	53.84	0.64	TRUE	0.95
42248	51.57	medium	51.57	0.58	TRUE	0.99
49 KDA PROTEIN.	48.35	medium	47.95	0.43	TRUE	0.96
A1CF	44.28	non-stable	43.26	0.26	TRUE	1
A2M	52.05	stable	52.17	0.7	TRUE	0.9
AAAS	48.44	medium	48.06	0.41	TRUE	0.99
AACS	45.99	non-stable	45.24	0.32	TRUE	1
AADACL1	53.18	medium	54.36	0.63	TRUE	0.97
AAK1	48.94	medium	48.58	0.42	TRUE	0.99
AAMP	47.08	medium	46.55	0.36	TRUE	1
AARS	50.2	medium	49.95	0.46	TRUE	1
AARS2	46.45	non-stable	45.81	0.33	TRUE	1
AARSD1	48.88	medium	48.52	0.41	TRUE	0.98
AASDH	48.94	medium	48.58	0.46	TRUE	0.97
AASDHPPT	50.99	medium	50.82	0.48	TRUE	1
AASS	50.09	medium	49.81	0.45	TRUE	1
AATF	50.56	medium	50.31	0.49	TRUE	0.94
ABAT	52.33	stable	52.52	0.7	TRUE	0.89
ABCA1	49.12	medium	48.8	0.44	TRUE	1
ABCB1	50.12	medium	49.85	0.46	TRUE	0.99
ABCB10	51.4	medium	51.38	0.5	TRUE	0.99
ABCB11	50.42	medium	50.17	0.46	TRUE	0.99
ABCB6	50.6	medium	50.36	0.5	TRUE	0.99
ABCB7	50.09	medium	49.81	0.44	TRUE	0.99
ABCB8	50.67	medium	50.44	0.5	TRUE	0.99
ABCC1	51.95	medium	52.06	0.52	TRUE	1
ABCC10	50.61	medium	50.37	0.53	TRUE	0.99
ABCC2	49.77	medium	49.44	0.44	TRUE	1
ABCC3	51.53	medium	51.53	0.51	TRUE	0.99
ABCC4	52.76	medium	53.19	0.58	TRUE	0.98
ABCC5	50.83	medium	50.63	0.5	TRUE	0.99
ABCC6	49.98	medium	49.68	0.48	TRUE	0.99
ABCD1	47.68	medium	47.23	0.37	TRUE	1
ABCD3	50.68	medium	50.45	0.47	TRUE	1
ABCD4	51.02	medium	50.86	0.53	TRUE	0.98
ABCE1	51.18	medium	51.06	0.6	TRUE	0.92
ABCF1	49.96	medium	49.65	0.44	TRUE	1
ABCF2	50.31	medium	50.06	0.47	TRUE	1
ABCF3	45.3	non-stable	44.44	0.29	TRUE	1
ABCG2		non-melter		0.68	TRUE	0.69
ABHD10	52.48	stable	52.79	0.67	TRUE	0.75
ABHD12	50.75	medium	50.53	0.5	TRUE	0.99
ABHD14A	50.2	medium	49.95	0.48	TRUE	0.97
ABHD14B	51.89	medium	51.99	0.53	TRUE	0.99
ABHD4	47.06	medium	46.54	0.37	TRUE	0.99
ABHD5	51.55	medium	51.55	0.53	TRUE	0.93
ABHD6	47.4	medium	46.93	0.37	TRUE	0.99
ABI1	50.55	medium	50.3	0.49	TRUE	0.99
ABI2	51.16	medium	51.04	0.54	TRUE	0.99
ABL2	45.97	non-stable	45.2	0.33	TRUE	1
ABLIM1	48.77	medium	48.41	0.5	TRUE	0.81
ABR	47.06	medium	46.53	0.38	TRUE	1
ACAA1	50.32	medium	50.07	0.48	TRUE	1
ACAA2		non-melter		0.87	TRUE	0.13
ACACA	47.41	medium	46.95	0.36	TRUE	1
ACACB	47.95	medium	47.51	0.41	TRUE	1
ACAD10	48.18	medium	47.79	0.39	TRUE	0.99
ACAD11	48.32	medium	47.91	0.39	TRUE	1
ACAD8	51.82	medium	51.91	0.53	TRUE	1
ACAD9	50.76	medium	50.54	0.53	TRUE	0.99
ACADM	53.08	medium	54.12	0.59	TRUE	0.99
ACADS	51.62	medium	51.64	0.53	TRUE	1
ACADSB	53.11	medium	54.2	0.63	TRUE	0.98
ACADVL	51.93	medium	52.03	0.54	TRUE	0.99
ACAP2	48.58	medium	48.2	0.41	TRUE	1
ACAP3	45.76	non-stable	44.92	0.33	TRUE	1
ACAT1	52.2	medium	52.33	0.52	TRUE	1
ACAT2	51.63	stable	51.67	0.69	TRUE	0.84
ACBD3	49.03	medium	48.71	0.41	TRUE	1
ACBD5	46.67	non-stable	46.04	0.34	TRUE	1
ACE2		non-melter		0.74	TRUE	0.72
ACIN1	48	medium	47.56	0.44	TRUE	0.98
ACLY	50.54	medium	50.29	0.46	TRUE	1
ACN9	50.67	medium	50.43	0.51	TRUE	0.99
ACO1	48.22	medium	47.82	0.39	TRUE	1
ACO2	49.65	medium	49.3	0.43	TRUE	1
ACOT11	49.89	medium	49.58	0.45	TRUE	1
ACOT2	49.3	medium	48.97	0.42	TRUE	1
ACOT7		non-melter		0.78	TRUE	0.66
ACOT8	51.33	medium	51.28	0.53	TRUE	1
ACOT9	51.86	medium	51.96	0.51	TRUE	1
ACOX1	51.66	medium	51.71	0.61	TRUE	0.99
