Protein ID	Melting point [°C]	Protein stability class	Quantile-normalized melting point [°C]	AUC	Curve fit converged	R2 of curve fit
(XM_371598) HYPOTHETICAL PROTEIN XP_371598.	50.81	medium	50.81	0.5	TRUE	0.99
14 KDA PROTEIN.	49.68	medium	49.36	0.47	TRUE	0.95
21 KDA PROTEIN.	52.19	medium	52.67	0.57	TRUE	1
37500	51.59	medium	51.94	0.62	TRUE	0.94
38961	52.42	stable	52.92	0.66	TRUE	0.84
39326	51.82	medium	52.22	0.52	TRUE	1
39692	53.09	medium	54	0.61	TRUE	0.94
40057	49.74	medium	49.43	0.45	TRUE	0.99
40422	51.21	medium	51.37	0.49	TRUE	1
40787		non-melter		0.72	TRUE	0.71
42 KDA PROTEIN.	52.79	medium	53.4	0.59	TRUE	0.98
42248	51.83	medium	52.25	0.58	TRUE	0.99
A1CF	43.86	non-stable	43.37	0.24	TRUE	1
A2LD1	49.68	medium	49.36	0.49	TRUE	0.97
A2M	50.64	stable	50.6	0.7	TRUE	0.87
A7E2U1_HUMAN	47.25	medium	46.68	0.38	TRUE	0.99
AAAS	49.38	medium	49.05	0.43	TRUE	0.99
AACS	46.24	non-stable	45.67	0.33	TRUE	1
AADACL1	52.64	stable	53.18	0.65	TRUE	0.93
AADAT	51.68	medium	52.06	0.58	TRUE	0.99
AAK1	49.65	medium	49.32	0.46	TRUE	0.99
AAMP	48.66	medium	48.22	0.43	TRUE	0.99
AARS	49.37	medium	49.03	0.43	TRUE	1
AARS2	46.25	non-stable	45.7	0.32	TRUE	1
AARSD1	48.08	medium	47.59	0.38	TRUE	0.98
AASDH	48	medium	47.48	0.42	TRUE	0.99
AASDHPPT	50.46	medium	50.38	0.47	TRUE	1
AASS	50.27	medium	50.11	0.45	TRUE	1
AATF	49.73	medium	49.41	0.46	TRUE	0.8
ABAT	51.77	stable	52.17	0.68	TRUE	0.88
ABCA1	49.28	medium	48.93	0.46	TRUE	0.98
ABCB1	50.25	medium	50.07	0.48	TRUE	0.99
ABCB10	50.36	medium	50.23	0.47	TRUE	0.99
ABCB6	50.47	medium	50.39	0.51	TRUE	0.99
ABCB7	49.99	medium	49.75	0.44	TRUE	1
ABCB8	50.35	medium	50.22	0.47	TRUE	0.99
ABCC1	51.42	medium	51.67	0.51	TRUE	0.98
ABCC10	47.38	medium	46.81	0.39	TRUE	0.99
