Protein ID	Melting point [°C]	Protein stability class	AUC	Curve fit converged	R2 of curve fit
B0QXZ8_HMGXB4	51.93	medium	0.59	TRUE	0.9
B0QY89_EIF3L	50.71	medium	0.48	TRUE	0.82
B0QY95_SMCR7L	50.2	medium	0.48	TRUE	0.99
B0QYI3_TBC1D22A	52.1	medium	0.53	TRUE	0.97
B0QYK0_EWSR1	52.7	medium	0.63	TRUE	0.97
B0QYW5_SLC25A17		non-melter	0.74	TRUE	0.39
B0S7V7_CCHCR1	45.87	non-stable	0.34	TRUE	1
B0UX83_BAG6	47.24	medium	0.37	TRUE	1
B0UXB6_ABHD16A	48.87	medium	0.45	TRUE	1
B0UZY3_EHMT2	46.39	medium	0.36	TRUE	0.99
B0YIW2_APOC3		non-melter	0.8	TRUE	0.7
B1AH87_TSPO	52.52	medium	0.6	TRUE	0.96
B1AHD1_NHP2L1	54.3	medium	0.61	TRUE	0.99
B1AJY7_PSMD10	48.23	medium	0.41	TRUE	0.95
B1AK13_HMGCL	52.89	medium	0.59	TRUE	0.97
B1AKD8_CROCC	51.19	medium	0.52	TRUE	0.99
B1AKJ5_NRD1	49.22	medium	0.44	TRUE	1
B1AKJ6_OSBPL9	45.17	non-stable	0.32	TRUE	1
B1AKL4_EIF4ENIF1	48.08	medium	0.44	TRUE	0.99
B1AL69_CDC37L1	49.43	medium	0.46	TRUE	0.97
B1ALM5_TMEM9	52.68	medium	0.58	TRUE	0.99
B1AMF0_UBE2J2	50.47	medium	0.52	TRUE	0.99
B1AMS2_SEPT6	54.1	medium	0.59	TRUE	0.97
B1AMU7_EXOSC1	50.08	medium	0.49	TRUE	0.94
B1AMW1_CD58	52.57	medium	0.64	TRUE	0.98
B1AN99_PRSS3		non-melter	1.05	TRUE	0.51
B1ANH0_GUK1	48.46	medium	0.42	TRUE	0.99
B1APM4_SOAT1	49.01	medium	0.42	TRUE	0.95
B1AQ61_UBE4B	56.5	stable	0.73	TRUE	0.99
B1AQP1_USF1	48.72	medium	0.46	TRUE	1
B1AVQ5_MUC1		non-melter	0.74	TRUE	0.93
B1B1H9_FGF13	50.47	medium	0.49	TRUE	0.99
B2WTI3_JMJD6	46.8	medium	0.37	TRUE	1
B3KPJ4_PHC2	47.76	medium	0.42	TRUE	0.99
B3KQ25_PSME3	52.17	stable	0.7	TRUE	0.61
B3KQC5_MAN1B1	49.14	medium	0.45	TRUE	0.98
B3KS98_EIF3S3	47.72	medium	0.39	TRUE	0.99
B3KSH1_EIF3F	47.13	medium	0.37	TRUE	0.99
B3KSI9_LZTFL1	51.9	medium	0.52	TRUE	1
B3KTR6_MXRA8	51.23	medium	0.56	TRUE	0.99
B3KUK2_SOD2		non-melter	0.98	TRUE	0.03
B3KVH8_PHF23	50.52	medium	0.55	TRUE	0.99
B3KWN8_PYROXD1	48.77	medium	0.42	TRUE	0.99
B3KXX3_SLC12A6	50.47	medium	0.5	TRUE	0.98
B3KY83_RXRA	46.64	medium	0.37	TRUE	0.99
B3V0L1_ARL6IP4		non-melter	0.96	TRUE	-0.04
B4DDF4_CNN2	47.57	medium	0.39	TRUE	0.99
B4DDR8_MED24	46.95	medium	0.37	TRUE	0.94
B4DDY8_HARS2	51.43	medium	0.52	TRUE	0.99
B4DE11_SLC35A2	51.59	medium	0.52	TRUE	0.98
B4DE16_CTNNBL1	45.49	non-stable	0.34	TRUE	0.99
B4DE92_TBC1D25	47.19	medium	0.37	TRUE	0.98
B4DEX5_PRNPIP	53.73	medium	0.58	TRUE	0.98
B4DEZ3_NDUFA13	48.11	medium	0.41	TRUE	0.96
B4DF64_HAUS3	45.03	non-stable	0.31	TRUE	1
B4DFF2_SLC17A5	50.13	medium	0.52	TRUE	0.96
B4DFI9_HUS1	54.28	medium	0.6	TRUE	0.99
B4DFQ4_COMMD1	47.1	medium	0.39	TRUE	0.99
B4DFR2_DYNLRB1		non-melter	0.78	TRUE	0.8
B4DGM3_SMARCE1	44.42	non-stable	0.3	TRUE	0.99
B4DGU4_CTNNB1	46.74	medium	0.37	TRUE	0.78
B4DGX2_PIP4K2A	50.45	medium	0.48	TRUE	0.99
B4DH26_DCUN1D4	47.69	medium	0.4	TRUE	1
B4DH53_MAP1S	49.08	medium	0.44	TRUE	1
B4DH70_FBXW11	47.47	medium	0.38	TRUE	0.99
B4DHW1_TMEM165	53.93	medium	0.6	TRUE	0.95
B4DHX2_AGTPBP1	46.33	medium	0.36	TRUE	0.99
B4DIG7_PIP5K1B		non-melter	0.81	TRUE	0.31
B4DJA5_RAB5A	59.86	stable	0.74	TRUE	0.98
B4DJP7_SNRPD3	51.96	medium	0.57	TRUE	0.93
B4DJV2_CS	50.04	medium	0.46	TRUE	1
B4DK80_TOP3A	44.75	non-stable	0.3	TRUE	0.99
B4DKB2_ECE1	49.36	medium	0.54	TRUE	0.96
B4DKF9_ZNF286A	51.01	medium	0.58	TRUE	0.98
B4DKL4_LSR	50.88	medium	0.62	TRUE	0.97
B4DL54_CHURC1-FNTB	50.97	medium	0.5	TRUE	1
B4DL79_KIF20A	45.7	non-stable	0.3	TRUE	1
B4DLH2_C2orf18	58.49	medium	0.62	TRUE	0.75
B4DLN1_SLC25A10	53.08	stable	0.65	TRUE	0.94
B4DLR8_NQO1	50.28	medium	0.48	TRUE	0.99
B4DLT4_RPS6KB1	48.81	medium	0.42	TRUE	0.99
B4DLZ9_RNF220	50.53	medium	0.49	TRUE	1
B4DMU4_FAM45A	48.34	medium	0.42	TRUE	0.98
B4DMX0_KDSR		non-melter	0.78	TRUE	0.91
B4DN34_MRPL48	47.89	medium	0.39	TRUE	1
B4DNX9_ZNF460	44.52	non-stable	0.31	TRUE	0.99
B4DP21_PTGES3	47.98	medium	0.39	TRUE	0.97
B4DPY5_SNX11	50.87	medium	0.52	TRUE	0.99
B4DPY8_TOX4	47.46	medium	0.39	TRUE	0.99
B4DQJ8_PGD	53.02	medium	0.55	TRUE	0.99
B4DR52_HIST2H2BF	45.42	non-stable	0.33	TRUE	0.96
B4DR61_SEC61A1	49.99	medium	0.51	TRUE	0.99
B4DR80_STK24	50.65	medium	0.48	TRUE	1
B4DRC4_ASB6	50.15	medium	0.49	TRUE	0.97
B4DRL9_CHM	52.05	medium	0.54	TRUE	0.98
B4DRS7_SH2D3A	49.18	medium	0.44	TRUE	0.99
B4DSD4_C9orf41	50.96	medium	0.49	TRUE	0.99
B4DSF9_AGPAT4	47.73	medium	0.37	TRUE	1
B4DSS5_KIAA0513	47.58	medium	0.38	TRUE	0.99
B4DSS8_PTBP2	47.48	medium	0.39	TRUE	1
B4DT55_WDR41	51.17	medium	0.49	TRUE	1
B4DT77_ANXA7	50.75	medium	0.48	TRUE	1
B4DTA3_SLC25A46	53.73	medium	0.59	TRUE	0.98
B4DTU4_LIG1	48.31	medium	0.41	TRUE	1
B4DUE9_SERINC3	50.39	medium	0.55	TRUE	0.97
B4DUS9_BPNT1		non-melter		FALSE	
B4DVE7_ANXA11	49.3	medium	0.44	TRUE	1
B4DVT3_VWA9	49.27	medium	0.43	TRUE	1
B4DVY1_EIF3D	44.96	non-stable	0.29	TRUE	0.99
B4DVZ6_FOXO3	46.17	medium	0.37	TRUE	1
B4DWI1_HACL1	50.14	medium	0.47	TRUE	0.98
B4DXK0_DBF4	43.09	non-stable	0.23	TRUE	1
B4DXZ6_FXR1	45.88	non-stable	0.33	TRUE	0.99
B4DY13_GTPBP4	45.63	medium	0.36	TRUE	0.97
B4DY26_TGFBR1	49.34	medium	0.45	TRUE	0.98
B4DYB4_NUP35	55.14	medium	0.65	TRUE	0.91
B4DZG7_ARL1	51.99	medium	0.52	TRUE	0.99
B4DZH6_HDAC6	49.72	medium	0.46	TRUE	1
B4E0E3_TMEM134	48.36	medium	0.51	TRUE	0.91
B4E0T2_PEX5	44.59	non-stable	0.33	TRUE	0.99
B4E0T7_LRCH3	44.56	non-stable	0.3	TRUE	1
B4E0V0_PNPO	50.91	medium	0.5	TRUE	0.99
B4E107_ATE1	50.47	medium	0.5	TRUE	0.98
B4E1J0_PBXIP1	52.51	medium	0.57	TRUE	0.97
B4E1M0_MSANTD2	47.87	medium	0.41	TRUE	0.99
B4E1Q4_RIOK3	50.41	medium	0.5	TRUE	0.99
B4E241_SFRS3	57.56	stable	0.72	TRUE	0.87
B4E2B6_PUM2	50.11	medium	0.49	TRUE	0.98
B4E2V5_STOM	48.58	medium	0.44	TRUE	0.96
B4E2W0_HADHB	48.42	medium	0.42	TRUE	0.99
B4E2X3_METTL13	47.86	medium	0.4	TRUE	1
B5MBW9_CHCHD10		non-melter	0.7	TRUE	0.88
B5MBX0_CDCA5	48.02	medium	0.44	TRUE	0.98
B5MBX5_LBH	52.55	medium	0.61	TRUE	0.97
B5MCA4_EPCAM	51.56	medium	0.54	TRUE	0.98
B5MCF9_PES1	45.02	non-stable	0.31	TRUE	0.99
B5MCN7_NCOA1	48.55	medium	0.42	TRUE	0.99
B5MD58_SREBF1	49.06	medium	0.45	TRUE	0.96
B5MDE0_RFT1	52.24	medium	0.56	TRUE	0.98
B5MDF5_RAN	54.56	medium	0.6	TRUE	0.97
B5MDU6_C2orf43	49.25	medium	0.45	TRUE	1
B5ME25_METTL8	45.37	non-stable	0.31	TRUE	0.97
B7WNQ9_GATA1	46.46	medium	0.36	TRUE	0.99
B7WP27_CWC22	45.18	non-stable	0.31	TRUE	1
B7WPE2_EML3	48.13	medium	0.4	TRUE	0.99
B7WPG3_HNRPLL	47.05	medium	0.37	TRUE	1
B7WPL0_RIC8B	46.9	medium	0.37	TRUE	1
B7Z254_PDIA6	53.31	medium	0.56	TRUE	0.99
B7Z2B2_MFSD8		non-melter	0.67	TRUE	0.89
B7Z2Y5_RPS6KA5	47.65	medium	0.4	TRUE	0.99
B7Z3I9_ALAD	49.88	medium	0.6	TRUE	0.91
B7Z3P1_TBCE	46.15	non-stable	0.35	TRUE	1
B7Z3R2_TPCN1	49.72	medium	0.46	TRUE	0.91
B7Z4K6_DNASE2		non-melter	0.8	TRUE	0.8
B7Z4R0_ERF	44.98	non-stable	0.35	TRUE	0.99
B7Z4W5_CCBL1	54.05	medium	0.59	TRUE	1
B7Z589_SLC6A9	53.56	medium	0.62	TRUE	0.99
B7Z5G4_STMN3		non-melter	0.66	TRUE	0.8
B7Z5W1_F11R	60.24	stable	0.7	TRUE	0.98
B7Z637_ARMC8	48.41	medium	0.42	TRUE	0.97
B7Z6B8_DECR1	54.54	medium	0.6	TRUE	1
B7Z7F3_RANBP3	54.34	medium	0.59	TRUE	0.99
B7Z7J3_AMN1	51.8	medium	0.53	TRUE	0.98
B7Z815_USP7	46.52	non-stable	0.35	TRUE	0.99
B7Z817_DHCR24	49.16	medium	0.51	TRUE	0.98
