Protein ID	Melting point [°C]	Protein stability class	Quantile-normalized melting point [°C]	AUC	Curve fit converged	R2 of curve fit
ACP1	49.14	medium	48.79	0.44	TRUE	0.99
ACP2	50.58	medium	50.41	0.59	TRUE	0.93
ACP6	52.16	medium	52.6	0.52	TRUE	1
ACSF2	46.72	non-stable	46.36	0.33	TRUE	1
ACSF3	46.69	non-stable	46.33	0.34	TRUE	1
ACSL1	50.2	medium	49.96	0.46	TRUE	1
ACSL3	49.97	medium	49.65	0.44	TRUE	1
ACSL4	44.61	non-stable	44.32	0.28	TRUE	0.97
ACSL5	47.55	medium	47.12	0.36	TRUE	1
ACSL6	49.67	medium	49.34	0.45	TRUE	0.99
ACSM2B	47.61	medium	47.18	0.36	TRUE	1
ACSM3	46.1	non-stable	45.73	0.33	TRUE	1
ACSS1	49.75	medium	49.41	0.44	TRUE	1
ACSS2	50.83	medium	50.75	0.48	TRUE	1
ACSS3	51.14	medium	51.17	0.49	TRUE	1
ACTB	51.23	medium	51.3	0.58	TRUE	0.96
ACTC1	51.04	medium	51.05	0.55	TRUE	0.99
ACTL6A	47.4	medium	46.95	0.38	TRUE	1
ACTN1	53	medium	54.16	0.56	TRUE	0.99
ACTN4	52.31	medium	52.87	0.53	TRUE	0.99
ACTR10	50.65	medium	50.5	0.55	TRUE	1
ACTR1A	50.74	medium	50.62	0.5	TRUE	0.99
ACTR1B	51.25	medium	51.33	0.52	TRUE	0.99
ACTR2	51.4	medium	51.52	0.57	TRUE	0.99
ACTR3	52.56	medium	53.2	0.63	TRUE	0.97
ACTR5	43.69	non-stable	43.44	0.25	TRUE	1
ACTR6	45.63	non-stable	45.25	0.3	TRUE	0.99
ACY1		non-melter		0.77	TRUE	0.43
ACYP1	50.99	medium	50.97	0.49	TRUE	0.99
ACYP2	51.88	medium	52.24	0.51	TRUE	1
ADA		non-melter		0.75	TRUE	0.55
ADAL	52.61	stable	53.29	0.67	TRUE	0.68
ADAM10	50.81	medium	50.73	0.59	TRUE	0.96
ADAM15	50.73	medium	50.62	0.59	TRUE	0.94
ADAM17	51.15	medium	51.19	0.63	TRUE	0.88
ADAM22	51.2	medium	51.26	0.62	TRUE	0.88
ADAM9	50.35	stable	50.13	0.68	TRUE	0.79
ADAP1	49.83	medium	49.51	0.46	TRUE	0.99
ADAR	46.39	non-stable	46.02	0.32	TRUE	0.99
ADARB1	48.55	medium	48.14	0.45	TRUE	1
ADAT2	50.16	medium	49.9	0.52	TRUE	0.99
ADAT3	50.15	medium	49.88	0.49	TRUE	1
ADCK4	46.84	medium	46.45	0.36	TRUE	1
ADCK5	49.69	medium	49.36	0.47	TRUE	0.97
ADD1		non-melter		0.73	TRUE	0.73
ADD3		non-melter		0.77	TRUE	0.56
ADFP	50.91	medium	50.84	0.55	TRUE	0.99
ADH4		non-melter		0.78	TRUE	0.37
