Protein ID	Melting point [°C]	Protein stability class	AUC	Curve fit converged	R2 of curve fit
A0AVI4_TMEM129	54.81	medium	0.64	TRUE	0.97
A0AVT1_UBA6	52.43	medium	0.56	TRUE	0.99
A0FGR8-2_ESYT2	52.39	medium	0.56	TRUE	1
A0JNW5_UHRF1BP1L	54.39	medium	0.6	TRUE	0.96
A0MZ66_KIAA1598	52.02	medium	0.57	TRUE	0.98
A0PJW6_TMEM223	53.72	medium	0.58	TRUE	0.97
A1L0T0_ILVBL	57.39	stable	0.67	TRUE	0.99
A1L188_C17orf89		non-melter	0.84	TRUE	0.82
A1X283_SH3PXD2B	53.74	medium	0.6	TRUE	0.96
A1Z1Q3-2_MACROD2	53.06	medium	0.59	TRUE	0.99
A2A274_ACO2	52.1	medium	0.55	TRUE	0.99
A2A2G5_GGT7		non-melter	0.75	TRUE	0.33
A2A2Q9_AAR2	50.19	medium	0.54	TRUE	0.99
A2AEA2_HLA-C	54.84	medium	0.65	TRUE	0.97
A2RU67_KIAA1467	51	stable	0.7	TRUE	0.88
A3KFL4_EXOSC2		non-melter	1.26	TRUE	0.16
A3KN83-3_SBNO1	53.6	medium	0.59	TRUE	1
A4D126-2_ISPD		non-melter	0.8	TRUE	0.59
A4D1S0-2_KLRG2		non-melter	0.81	TRUE	0.69
A4D1U4_LCHN	56.92	stable	0.66	TRUE	0.91
A4D2B0_MBLAC1	60.2	stable	0.69	TRUE	0.96
A6H8Z3_RAB3GAP1	50.82	medium	0.51	TRUE	0.99
A6ND99_HS2ST1	55.59	medium	0.64	TRUE	0.98
A6NDB9_PALM3	60.02	stable	0.74	TRUE	0.91
A6NDG6_PGP	64.72	stable	0.8	TRUE	0.72
A6NDU8_C5orf51	52.27	medium	0.56	TRUE	0.98
A6NED2_RCCD1	54.32	medium	0.59	TRUE	0.98
A6NEM2_HCFC1	57.46	stable	0.68	TRUE	1
A6NEM5_PIGK	59.22	stable	0.71	TRUE	0.95
A6NF31_OFD1	46.98	medium	0.41	TRUE	0.98
A6NF48_ZNF281	47.08	medium	0.41	TRUE	0.97
A6NG32_CHMP1A		non-melter	0.81	TRUE	0.67
A6NG79_PRCC		non-melter	0.82	TRUE	0.79
A6NGB9_WIPF3		non-melter	0.76	TRUE	0.65
A6NGC4_TLCD2	62.16	stable	0.76	TRUE	0.91
A6NGP5_HN1L		non-melter	0.83	TRUE	0.17
A6NHL2-2_TUBAL3	63.45	stable	0.89	TRUE	0.68
A6NHR9_SMCHD1	51.58	medium	0.54	TRUE	0.92
A6NIH7_UNC119B	52.28	medium	0.55	TRUE	0.97
A6NJ78_METTL15	50.07	medium	0.48	TRUE	0.99
A6NK58_LIPT2	53.67	medium	0.57	TRUE	0.95
A6NKB8_RNPEP	53.88	medium	0.6	TRUE	1
A6NKD9_CCDC85C	52.38	medium	0.62	TRUE	0.98
A6NKZ2_RENBP	52.87	medium	0.58	TRUE	0.94
A6NL54_ZMYM3		non-melter	0.7	TRUE	0.71
A6NLP3_TRIM5	51.13	medium	0.52	TRUE	0.93
A6NMH6_SEPT8		non-melter	0.87	TRUE	0.17
A6NML8_DIAPH2	52.34	medium	0.58	TRUE	0.99
A6NMN0_PHKA1	50.53	medium	0.53	TRUE	0.98
A6NMQ1_POLA1	54.65	medium	0.61	TRUE	0.98
A6NN80_ANXA6	52.41	medium	0.57	TRUE	0.97
A6NNI4_CD9		non-melter	0.85	TRUE	-0.01
A6ZKI3_FAM127A	52.14	medium	0.59	TRUE	0.98
A8K0B5_ZBTB8OS	56.25	stable	0.68	TRUE	0.98
A8K0M9_SELK	51.75	medium	0.57	TRUE	0.8
A8MPS7_YDJC	53.58	medium	0.57	TRUE	0.99
A8MQ02_MLLT4	52.67	medium	0.59	TRUE	0.99
A8MRB1_S100B		non-melter	0.88	TRUE	0.72
A8MSH5_RTFDC1	50.13	medium	0.47	TRUE	0.97
A8MTE9_TTC12	49.81	medium	0.49	TRUE	0.99
A8MTY9_DSCR3	56.35	stable	0.68	TRUE	0.92
A8MUM1_TSSC1	58.43	stable	0.68	TRUE	0.8
A8MVQ8_GGPS1	61.53	stable	0.82	TRUE	0.93
A8MVW0_FAM171A2		non-melter	0.82	TRUE	0.78
A8MWY0_KIAA1324L	62.15	stable	0.85	TRUE	0.78
A8MX75_ERCC2	53.49	medium	0.57	TRUE	0.95
A8MXE8_RAI1	55.95	stable	0.71	TRUE	0.82
A8MXP9_MATR3	49.7	medium	0.58	TRUE	0.95
A8MXQ1_PTTG1IP		non-melter	0.79	TRUE	0.66
A8MXV4_NUDT19	53.82	medium	0.58	TRUE	1
A8MYQ9_RAB34	54.3	medium	0.6	TRUE	1
A8MYT4_PIK3C3	53.56	medium	0.59	TRUE	0.99
A9UHW6_MIF4GD	53.49	medium	0.58	TRUE	0.99
B0AZU2_KIAA0930	57.17	stable	0.67	TRUE	0.99
B0FLL2_PFKFB2	55.05	medium	0.63	TRUE	0.98
B0QY89_EIF3L	60.77	stable	0.85	TRUE	0.1
