Protein ID	Melting point [°C]	Protein stability class	AUC	Curve fit converged	R2 of curve fit
A0AVT1_UBA6	51.05	medium	0.42	TRUE	0.97
A0JNW5_UHRF1BP1L	61.86	stable	0.74	TRUE	0.94
A0MZ66_KIAA1598	57.92	stable	0.65	TRUE	0.97
A1A4S6_ARHGAP10	51.84	medium	0.43	TRUE	0.94
A1A5A9_KIAA0999	69.14	stable	0.8	TRUE	0.73
A1L188_C17orf89		non-melter	0.9	TRUE	0.81
A1L390_PLEKHG3		non-melter	0.73	TRUE	0.78
A1X283_SH3PXD2B	54	medium	0.56	TRUE	0.99
A2A2A7_PARD6B		non-melter	1	TRUE	0.05
A2A3N6_PIPSL	49.23	medium	0.36	TRUE	0.99
A2RTX5-2_TARSL2	55.12	medium	0.53	TRUE	0.94
A2RUC4_TYW5	53.83	medium	0.52	TRUE	0.99
A3KMH1-2_VWA8	51.35	medium	0.44	TRUE	0.99
A3KN83-2_SBNO1	53.02	medium	0.55	TRUE	0.98
A4D1E9-2_GTPBP10	56.13	medium	0.62	TRUE	0.96
A4D1P6-2_WDR91	64.8	stable	0.73	TRUE	0.95
A4D1S0-2_KLRG2		non-melter	0.75	TRUE	0.84
A4D2B0_MBLAC1		non-melter	0.85	TRUE	0.95
A5PLN9-2_TRAPPC13	50.3	medium	0.37	TRUE	0.99
A5YKK6_CNOT1	52.91	medium	0.5	TRUE	0.97
A6H8Y1-7_BDP1		non-melter	0.98	TRUE	0.93
A6ND22_MRPS16	53.73	medium	0.52	TRUE	0.96
A6ND36_FAM83G	53.13	medium	0.6	TRUE	0.99
A6NDB9_PALM3		non-melter	0.81	TRUE	0.17
A6NDG6_PGP	64.04	stable	0.81	TRUE	0.99
A6NDU8_C5orf51	52.36	medium	0.45	TRUE	0.98
A6NED2_RCCD1	52.65	medium	0.48	TRUE	1
A6NF31_OFD1		non-melter	0.85	TRUE	0.39
A6NF48_ZNF281		non-melter	0.97	TRUE	0.61
A6NFI3_ZNF316	65.71	stable	0.86	TRUE	0.1
A6NG32_CHMP1A		non-melter	0.92	TRUE	0.1
A6NG64_C10orf11	54.5	medium	0.56	TRUE	0.98
A6NG79_PRCC		non-melter	0.96	TRUE	0.65
A6NGB9_WIPF3		non-melter	1.45	TRUE	0.32
A6NGP5_HN1L		non-melter	1	TRUE	-0.02
A6NHL2-2_TUBAL3	60	stable	0.7	TRUE	0.8
A6NHR9_SMCHD1	47.47	non-stable	0.32	TRUE	0.94
A6NHX0_GATSL2	63.78	stable	0.8	TRUE	0.92
A6NIH7_UNC119B	51.76	medium	0.46	TRUE	0.98
A6NIX2_WTIP	53.55	medium	0.56	TRUE	0.91
A6NIZ0_NDEL1		non-melter	0.85	TRUE	0.87
A6NIZ6_ASXL1	66.68	stable	0.76	TRUE	0.86
A6NJ78-2_METTL15	69.79	stable	0.86	TRUE	0.18
A6NKD9_CCDC85C		non-melter	0.94	TRUE	0.83
A6NML8_DIAPH2	50.69	medium	0.42	TRUE	0.96
A6NN40_SHROOM1	60.66	stable	0.71	TRUE	0.95
A6NNT2_C16orf96	64.47	stable	0.73	TRUE	0.95
A6NNV6_ZWINT	50.83	medium	0.62	TRUE	0.8
A6QL63_BTBD11	53.2	medium	0.54	TRUE	0.96
A6ZKI3_FAM127A	48.47	non-stable	0.32	TRUE	1
A7KAX9_ARHGAP32	61.89	stable	0.78	TRUE	0.95
A7Y2D6_PYGO1		non-melter	0.97	TRUE	0.06
A8CG34-2_POM121C		non-melter	0.79	TRUE	0.94
A8CTX8_ITSN1	61.17	stable	0.73	TRUE	0.99
A8MQB8_FMR1		non-melter	0.87	TRUE	0.08
A8MTK3_POT1	50.89	medium	0.41	TRUE	1
A8MTZ6_S100PBP		non-melter	0.89	TRUE	0.8
A8MUB1_TUBA4A	54.2	medium	0.5	TRUE	0.97
A8MVZ6_BICD1	56.05	medium	0.64	TRUE	0.98
A8MWK3_CDH2		non-melter	0.92	TRUE	0.8
A8MWR2_WIPF2	69.38	stable	0.91	TRUE	0.84
A8MX75_ERCC2	55.09	medium	0.57	TRUE	0.95
A8MXV4_NUDT19	56.88	medium	0.59	TRUE	0.99
A9Z1X7_SRRM1		non-melter	0.84	TRUE	0.17
B0FLL2_PFKFB2	53.5	medium	0.52	TRUE	0.99
B0QXZ5_DNAL4	53.27	medium	0.47	TRUE	0.99
B0QY74_MKL1	58.66	stable	0.66	TRUE	0.96
