Well,Plate,Variable,Main
A11,6718,FALSE,0
A10,6718,FALSE,0
A09,6718,FALSE,0
A08,6718,FALSE,0
A07,6718,FALSE,0
A06,6718,FALSE,0
A04,6718,FALSE,0
A03,6718,FALSE,0
A02,6718,FALSE,0
A01,6718,FALSE,0
B12,6718,FALSE,0
B11,6718,FALSE,0
B10,6718,FALSE,0
B09,6718,FALSE,0
B08,6718,FALSE,0
B07,6718,FALSE,0
B06,6718,FALSE,0
B05,6718,FALSE,0
B04,6718,FALSE,0
B03,6718,FALSE,0
B02,6718,FALSE,0
B01,6718,FALSE,0
C12,6718,FALSE,0
C11,6718,FALSE,0
C10,6718,FALSE,0
C09,6718,FALSE,0
C08,6718,FALSE,0
C07,6718,FALSE,0
C06,6718,FALSE,0
C05,6718,FALSE,0
C04,6718,FALSE,0
C03,6718,FALSE,0
C02,6718,FALSE,0
D12,6718,FALSE,0
D11,6718,FALSE,0
D10,6718,FALSE,0
D09,6718,FALSE,0
D08,6718,FALSE,0
D07,6718,FALSE,0
D06,6718,FALSE,0
D05,6718,FALSE,0
D04,6718,FALSE,0
D03,6718,FALSE,0
D02,6718,FALSE,0
D01,6718,FALSE,0
E12,6718,FALSE,0
E11,6718,FALSE,0
E10,6718,FALSE,0
E09,6718,FALSE,0
E08,6718,FALSE,0
E07,6718,FALSE,0
E06,6718,FALSE,0
E05,6718,FALSE,0
E04,6718,FALSE,0
E03,6718,FALSE,0
E02,6718,FALSE,0
E01,6718,FALSE,0
F12,6718,FALSE,0
F11,6718,FALSE,0
F10,6718,FALSE,0
F09,6718,FALSE,0
F08,6718,FALSE,0
F07,6718,FALSE,0
F06,6718,FALSE,0
F05,6718,FALSE,0
F04,6718,FALSE,0
F03,6718,FALSE,0
F02,6718,FALSE,0
F01,6718,FALSE,0
G12,6718,FALSE,0
G11,6718,FALSE,0
G10,6718,FALSE,0
G09,6718,FALSE,0
G07,6718,FALSE,0
G06,6718,FALSE,0
G05,6718,FALSE,0
G04,6718,FALSE,0
G03,6718,FALSE,0
G02,6718,FALSE,0
G01,6718,FALSE,0
H12,6718,FALSE,0
H11,6718,FALSE,0
H10,6718,FALSE,0
H09,6718,FALSE,0
H08,6718,FALSE,0
H06,6718,FALSE,0
H05,6718,FALSE,0
H04,6718,FALSE,0
H03,6718,FALSE,0
H01,6718,FALSE,0
A12,6719,FALSE,0
A11,6719,FALSE,0
A10,6719,FALSE,0
A09,6719,FALSE,0
A08,6719,FALSE,0
A07,6719,FALSE,0
A06,6719,FALSE,0
A05,6719,FALSE,0
A04,6719,FALSE,0
A03,6719,FALSE,0
A02,6719,FALSE,0
B12,6719,FALSE,0
B11,6719,FALSE,0
B10,6719,FALSE,0
B09,6719,FALSE,0
B08,6719,FALSE,0
B07,6719,FALSE,0
B06,6719,FALSE,0
B05,6719,FALSE,0
B04,6719,FALSE,0
B03,6719,FALSE,0
B02,6719,FALSE,0
B01,6719,FALSE,0
C12,6719,FALSE,0
C11,6719,FALSE,0
C10,6719,FALSE,0
C09,6719,FALSE,0
C08,6719,FALSE,0
C07,6719,FALSE,0
C06,6719,FALSE,0
C04,6719,FALSE,0
C03,6719,FALSE,0
C02,6719,FALSE,0
C01,6719,FALSE,0
D12,6719,FALSE,0
D11,6719,FALSE,0
D10,6719,FALSE,0
D09,6719,FALSE,0
D08,6719,FALSE,0
D07,6719,FALSE,0
