well_plate,IF main antibody location,IF additional antibody location
D05_55215982,Actin filaments,Nucleoli;Nuclear bodies
E05_55215982,Nuclear membrane,Nucleoplasm;Cytosol
F05_55215982,Nucleus;Nucleoli fibrillar center;Vesicles,
G05_55215982,Plasma membrane;Cytosol,
H05_55215982,Nucleoplasm,Golgi apparatus;Cytosol
A06_55215982,Nucleoplasm;Mitochondria,
B06_55215982,Nucleoplasm,Cytosol
C06_55215982,Nucleus,Nucleoli fibrillar center
D06_55215982,Cytosol,
E06_55215982,Cytosol,
F06_55215982,Nuclear membrane,Nucleoplasm;Mitochondria
G06_55215982,Nucleoplasm;Nuclear membrane,Mitochondria
H06_55215982,Nucleoplasm,Nucleoli;Nuclear speckles;Cytosol
A07_55215982,Nucleus;Nucleoli,
B07_55215982,Nucleus;Nucleoli,Plasma membrane;Cytosol
C07_55215982,Cytosol,
D07_55215982,Nucleoplasm,
E07_55215982,Golgi apparatus,
F07_55215982,Nucleus;Nucleoli,
G07_55215982,Cytosol,Nucleus;Plasma membrane
H07_55215982,Endoplasmic reticulum,
A08_55215982,Mitochondria,Cytosol
B08_55215982,Plasma membrane,Nuclear speckles;Actin filaments;Focal adhesion sites
C08_55215982,Vesicles;Cytosol,
D08_55215982,Plasma membrane;Cytosol,
E08_55215982,Nucleoplasm;Cytosol,Nucleoli
F08_55215982,Nucleus,Cytosol
G08_55215982,Nucleoli,Golgi apparatus
H08_55215982,Nucleoplasm,
A09_55215982,Nucleoplasm,Nuclear bodies;Cytosol
B09_55215982,Nucleus;Cytosol,Focal adhesion sites
C09_55215982,Nucleoplasm,Nucleoli fibrillar center
D09_55215982,Nucleus,
E09_55215982,Nucleoplasm,
F09_55215982,Nucleoplasm,Cytosol
G09_55215982,Golgi apparatus,Nucleoplasm;Cytosol
H09_55215982,Nucleoplasm,
A10_55215982,Actin filaments,
B10_55215982,Golgi apparatus;Cytosol,
C10_55215982,Plasma membrane,Cytosol
D10_55215982,Nucleoplasm,
E10_55215982,Nucleoplasm,Intermediate filaments
F10_55215982,Cytosol,Plasma membrane
G10_55215982,Mitochondria,
H10_55215982,Cytosol,
A11_55215982,Nuclear bodies,Nucleoplasm;Cytosol
B11_55215982,Nucleoli,Nucleus;Nuclear membrane;Golgi apparatus;Cytosol
C11_55215982,Nucleoplasm,Cytosol
D11_55215982,Golgi apparatus,Nucleoplasm;Cytosol
E11_55215982,Nucleus;Nucleoli;Cytosol,Cell Junctions
F11_55215982,Nucleoli,Nucleus
G11_55215982,Plasma membrane,Nucleoplasm
H11_55215982,Nuclear speckles,Nuclear membrane;Cytosol
A12_55215982,Nucleus;Nuclear membrane,Cytosol
B12_55215982,Intermediate filaments,
C12_55215982,Nucleus,Cytosol
D12_55215982,Golgi apparatus,Nucleus
E12_55215982,Nucleoplasm;Cytosol,Plasma membrane
F12_55215982,Cytosol,
G12_55215982,Nucleus,Mitochondria
A01_55225983,Nucleoplasm;Nuclear speckles,
B01_55225983,Centrosome,Nucleus;Nucleoli
C01_55225983,Nuclear speckles,Nucleoli fibrillar center;Cytosol
D01_55225983,Plasma membrane;Cytosol,Golgi apparatus
E01_55225983,Golgi apparatus,
F01_55225983,Nucleoli,
G01_55225983,Nucleoplasm;Cytosol,Cytokinetic bridge
H01_55225983,Cytosol,Nucleoplasm
A02_55225983,Nucleoplasm;Nuclear bodies,Nuclear membrane;Mitochondria
B02_55225983,Nuclear bodies,Nucleus;Cytokinetic bridge;Cytosol
C02_55225983,Vesicles,Intermediate filaments
D02_55225983,Nuclear speckles,Actin filaments
E02_55225983,Nuclear membrane,Nucleoli
F02_55225983,Vesicles,
G02_55225983,Centrosome;Cytosol,
H02_55225983,Cytosol,Endoplasmic reticulum
A03_55225983,Nucleoplasm,Nuclear bodies
B03_55225983,Nucleoplasm,
C03_55225983,Mitochondria,
D03_55225983,Nucleoplasm,Mitochondria
E03_55225983,Nucleoplasm,Nucleoli fibrillar center;Centrosome
F03_55225983,Plasma membrane;Cytosol,Actin filaments;Mitochondria
G03_55225983,Nucleoplasm,Cytosol
H03_55225983,Golgi apparatus,
A04_55225983,Nucleus,Golgi apparatus;Cytosol
B04_55225983,Cytosol,Nucleoli
C04_55225983,Nucleus,
D04_55225983,Nucleoli fibrillar center,
E04_55225983,Golgi apparatus,Cytosol
F04_55225983,Mitochondria,Vesicles
G04_55225983,Cytosol,Nuclear bodies
H04_55225983,Cytosol,Nucleoplasm
A05_55225983,Plasma membrane;Mitochondria,Nucleus
B05_55225983,Nucleoplasm;Microtubules,Nucleoli
C05_55225983,Nucleus;Nucleoli,Cytosol
D05_55225983,Nucleoplasm,Vesicles
E05_55225983,Nucleus;Nucleoli,
F05_55225983,Vesicles,Plasma membrane;Cytosol
G05_55225983,Mitochondria,
H05_55225983,Nucleoplasm,Cytosol
A06_55225983,Nucleoli,Nucleus
B06_55225983,Nucleus;Nucleoli,
C06_55225983,Plasma membrane,Cytosol
D06_55225983,Nucleoli;Cytosol,
E06_55225983,Nuclear speckles,Nucleoli fibrillar center;Cytosol
F06_55225983,Nucleoplasm,
G06_55225983,Mitochondria,Nucleoplasm
H06_55225983,Cytosol,Nucleoplasm
A07_55225983,Vesicles,
B07_55225983,Plasma membrane;Cytosol,
C07_55225983,Cytosol,
D07_55225983,Actin filaments,Cell Junctions;Cytosol
E07_55225983,Nucleoplasm;Cytosol,
F07_55225983,Actin filaments;Cytosol,
G07_55225983,Nucleoplasm;Cytosol,Mitochondria
H07_55225983,Nucleus,Cytosol
A08_55225983,Mitochondria,
B08_55225983,Cytosol,Nucleoplasm;Plasma membrane
C08_55225983,Mitochondria;Cytosol,
D08_55225983,Nucleoli,Nucleus;Nuclear bodies
E08_55225983,Nucleus,Nucleoli;Cytosol
F08_55225983,Cytosol,
G08_55225983,Nucleoli,Nucleus
H08_55225983,Nucleoplasm,Golgi apparatus
